                                     | Core 0     | Core 1    
  Instructions                       |   24840429 |    5993065
  Cycles                             |   20007600 |   20007600
  IPC                                |       1.24 |       0.30
  Time (ns)                          |    5001900 |    5001900
  Idle time (ns)                     |       1244 |    3411763
  Idle time (%)                      |       0.0% |      68.2%
Branch predictor stats               |            |           
  num correct                        |    3125015 |    1369162
  num incorrect                      |     198685 |      67072
  misprediction rate                 |      5.98% |      4.67%
  mpki                               |       8.00 |      11.19
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3658460 |     534109
    num misses                       |        174 |         26
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6201930 |    1854500
    num misses                       |       6737 |       3867
    miss rate                        |      0.11% |      0.21%
    mpki                             |       0.27 |       0.65
  L2 TLB                             |            |           
    num accesses                     |       6911 |       3893
    num misses                       |        732 |        270
    miss rate                        |     10.59% |      6.94%
    mpki                             |       0.03 |       0.05
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3658460 |     534109
    num cache misses                 |       2848 |        175
    miss rate                        |      0.08% |      0.03%
    mpki                             |       0.11 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |    6201930 |    1854500
    num cache misses                 |     100183 |      74725
    miss rate                        |      1.62% |      4.03%
    mpki                             |       4.03 |      12.47
  Cache L2                           |            |           
    num cache accesses               |     106224 |      78029
    num cache misses                 |      72761 |      56176
    miss rate                        |     68.50% |     71.99%
    mpki                             |       2.93 |       9.37
  Cache L3                           |            |           
    num cache accesses               |      76121 |      59370
    num cache misses                 |      72018 |      56163
    miss rate                        |     94.61% |     94.60%
    mpki                             |       2.90 |       9.37
DRAM summary                         |            |           
  num dram accesses                  |      13323 |      13277
  average dram access latency (ns)   |      61.37 |      61.35
  average dram queueing delay        |       0.12 |       0.10
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10306 |         13
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       1192 |       3798
