                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   11432757 |    3357041 |    3199504 |    3385166 |    2854074 |    3354299 |    3207565 |    3482734
  Cycles                             |    9285200 |    9285200 |    9285200 |    9285200 |    9285200 |    9285200 |    9285200 |    9285200
  IPC                                |       1.23 |       0.36 |       0.34 |       0.36 |       0.31 |       0.36 |       0.35 |       0.38
  Time (ns)                          |    2321300 |    2321300 |    2321300 |    2321300 |    2321300 |    2321300 |    2321300 |    2321300
  Idle time (ns)                     |       1470 |    1847375 |    1847660 |    1847806 |    1847722 |    1847828 |    1847898 |    1847950
  Idle time (%)                      |       0.1% |      79.6% |      79.6% |      79.6% |      79.6% |      79.6% |      79.6% |      79.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1353804 |    1052720 |     988060 |    1062711 |     842658 |    1050426 |     990365 |    1102419
  num incorrect                      |      81055 |       6406 |       8467 |       6145 |      13266 |       6684 |       8570 |       5023
  misprediction rate                 |      5.65% |      0.60% |      0.85% |      0.57% |      1.55% |      0.63% |      0.86% |      0.45%
  mpki                               |       7.09 |       1.91 |       2.65 |       1.82 |       4.65 |       1.99 |       2.67 |       1.44
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1643171 |      36135 |      40370 |      35473 |      48473 |      35844 |      40078 |      32724
    num misses                       |        184 |         23 |         25 |         24 |         24 |         24 |         24 |         24
    miss rate                        |      0.01% |      0.06% |      0.06% |      0.07% |      0.05% |      0.07% |      0.06% |      0.07%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2491255 |     652322 |     636579 |     656056 |     602864 |     653369 |     637688 |     666841
    num misses                       |       1845 |        132 |        138 |        143 |        147 |        121 |        122 |        129
    miss rate                        |      0.07% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.16 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       2029 |        155 |        163 |        167 |        171 |        145 |        146 |        153
    num misses                       |        613 |        125 |        131 |        130 |        129 |        125 |        123 |        126
    miss rate                        |     30.21% |     80.65% |     80.37% |     77.84% |     75.44% |     86.21% |     84.25% |     82.35%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1643171 |      36135 |      40370 |      35473 |      48473 |      35844 |      40078 |      32724
    num cache misses                 |       2666 |        185 |        190 |        187 |        189 |        186 |        187 |        186
    miss rate                        |      0.16% |      0.51% |      0.47% |      0.53% |      0.39% |      0.52% |      0.47% |      0.57%
    mpki                             |       0.23 |       0.06 |       0.06 |       0.06 |       0.07 |       0.06 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2491255 |     652322 |     636579 |     656056 |     602864 |     653369 |     637688 |     666841
    num cache misses                 |      37239 |      13110 |      13366 |      13052 |      13532 |      13167 |      13309 |      12927
    miss rate                        |      1.49% |      2.01% |      2.10% |      1.99% |      2.24% |      2.02% |      2.09% |      1.94%
    mpki                             |       3.26 |       3.91 |       4.18 |       3.86 |       4.74 |       3.93 |       4.15 |       3.71
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      42212 |      13402 |      13690 |      13373 |      14228 |      13746 |      13902 |      13491
    num cache misses                 |      28891 |      12056 |      12291 |      12054 |      12427 |      12174 |      12271 |      12017
    miss rate                        |     68.44% |     89.96% |     89.78% |     90.14% |     87.34% |     88.56% |     88.27% |     89.07%
    mpki                             |       2.53 |       3.59 |       3.84 |       3.56 |       4.35 |       3.63 |       3.83 |       3.45
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      31547 |      12174 |      12428 |      12188 |      12935 |      12567 |      12677 |      12396
    num cache misses                 |      23520 |       6812 |       6935 |       6744 |       7675 |       7294 |       7312 |       7180
    miss rate                        |     74.56% |     55.96% |     55.80% |     55.33% |     59.34% |     58.04% |     57.68% |     57.92%
    mpki                             |       2.06 |       2.03 |       2.17 |       1.99 |       2.69 |       2.17 |       2.28 |       2.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      10616 |          0 |          0 |          0 |      10565 |          0 |          0 |          0
  average dram access latency (ns)   |      61.50 |        inf |        inf |        inf |      61.49 |        inf |        inf |        inf
  average dram queueing delay        |       0.25 |       0.00 |       0.00 |       0.00 |       0.24 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10386 |        131 |        170 |        135 |        114 |         95 |         94 |         96
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2007 |       1880 |       1914 |       1953 |       2589 |       2382 |       2377 |       2377
