                                     | Core 0     | Core 1    
  Instructions                       |   24834824 |    5963026
  Cycles                             |   20660800 |   20660800
  IPC                                |       1.20 |       0.29
  Time (ns)                          |    5165200 |    5165200
  Idle time (ns)                     |       1459 |    3462914
  Idle time (%)                      |       0.0% |      67.0%
Branch predictor stats               |            |           
  num correct                        |    3120773 |    1359977
  num incorrect                      |     203569 |      67231
  misprediction rate                 |      6.12% |      4.71%
  mpki                               |       8.20 |      11.27
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3166781 |     567366
    num misses                       |        166 |         28
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6200351 |    1849341
    num misses                       |       5004 |       3620
    miss rate                        |      0.08% |      0.20%
    mpki                             |       0.20 |       0.61
  L2 TLB                             |            |           
    num accesses                     |       5170 |       3648
    num misses                       |        686 |        247
    miss rate                        |     13.27% |      6.77%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3166781 |     567366
    num cache misses                 |       2867 |        191
    miss rate                        |      0.09% |      0.03%
    mpki                             |       0.12 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |    6200351 |    1849341
    num cache misses                 |     100223 |      74879
    miss rate                        |      1.62% |      4.05%
    mpki                             |       4.04 |      12.56
  Cache L2                           |            |           
    num cache accesses               |     105114 |      75070
    num cache misses                 |      72951 |      56334
    miss rate                        |     69.40% |     75.04%
    mpki                             |       2.94 |       9.45
  Cache L3                           |            |           
    num cache accesses               |      75098 |      56380
    num cache misses                 |      22532 |       4045
    miss rate                        |     30.00% |      7.17%
    mpki                             |       0.91 |       0.68
DRAM summary                         |            |           
  num dram accesses                  |      26552 |          0
  average dram access latency (ns)   |      61.88 |        inf
  average dram queueing delay        |       0.63 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11759 |       1793
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
