                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   22149841 |    4954682 |    4662590 |    4731674 |    4231985 |    3767638
  Cycles                             |   63717600 |   63717600 |   63717600 |   63717600 |   15929400 |   15929400
  IPC                                |       0.35 |       0.08 |       0.07 |       0.07 |       0.27 |       0.24
  Time (ns)                          |   15929400 |   15929400 |   15929400 |   15929400 |   15929400 |   15929400
  Idle time (ns)                     |       1363 |   12665395 |   12666139 |   12666183 |   12636178 |   12636491
  Idle time (%)                      |       0.0% |      79.5% |      79.5% |      79.5% |      79.3% |      79.3%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2545146 |    1483696 |    1362299 |    1389669 |    1185873 |     983769
  num incorrect                      |     170948 |      13923 |      17792 |      16788 |      22468 |      29335
  misprediction rate                 |      6.29% |      0.93% |      1.29% |      1.19% |      1.86% |      2.90%
  mpki                               |       7.72 |       2.81 |       3.82 |       3.55 |       5.31 |       7.79
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2572728 |     100386 |     119124 |     114082 |     140852 |     182710
    num misses                       |        182 |         29 |         31 |         46 |         48 |         48
    miss rate                        |      0.01% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5261005 |    1076398 |    1046967 |    1054523 |    1000896 |     962365
    num misses                       |       2511 |       1309 |       1279 |       1398 |       1297 |       1320
    miss rate                        |      0.05% |      0.12% |      0.12% |      0.13% |      0.13% |      0.14%
    mpki                             |       0.11 |       0.26 |       0.27 |       0.30 |       0.31 |       0.35
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2693 |       1338 |       1310 |       1444 |       1345 |       1368
    num misses                       |        673 |        199 |        200 |        227 |        210 |        227
    miss rate                        |     24.99% |     14.87% |     15.27% |     15.72% |     15.61% |     16.59%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.05 |       0.05 |       0.06
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2572728 |     100386 |     119124 |     114082 |     140852 |     182710
    num cache misses                 |       2847 |        177 |        186 |        357 |        422 |        430
    miss rate                        |      0.11% |      0.18% |      0.16% |      0.31% |      0.30% |      0.24%
    mpki                             |       0.13 |       0.04 |       0.04 |       0.08 |       0.10 |       0.11
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5261005 |    1076398 |    1046967 |    1054523 |    1000896 |     962365
    num cache misses                 |      60356 |      33290 |      33550 |      33610 |      33818 |      35066
    miss rate                        |      1.15% |      3.09% |      3.20% |      3.19% |      3.38% |      3.64%
    mpki                             |       2.72 |       6.72 |       7.20 |       7.10 |       7.99 |       9.31
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      65373 |      33476 |      33737 |      33969 |      34240 |      35504
    num cache misses                 |      48941 |      30190 |      30354 |      30581 |      30661 |      30937
    miss rate                        |     74.86% |     90.18% |     89.97% |     90.03% |     89.55% |     87.14%
    mpki                             |       2.21 |       6.09 |       6.51 |       6.46 |       7.25 |       8.21
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      51411 |      30218 |      30381 |      30606 |      30663 |      30945
    num cache misses                 |      20069 |       1375 |       1401 |       1469 |       1543 |       1796
    miss rate                        |     39.04% |      4.55% |      4.61% |      4.80% |      5.03% |      5.80%
    mpki                             |       0.91 |       0.28 |       0.30 |       0.31 |       0.36 |       0.48
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      27577 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.37 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10901 |        744 |        732 |        765 |        721 |        953
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
