                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
    mpki                             |       0.32 |       0.08 |       0.07 |       0.07 |       0.08 |       0.14 |       0.08 |       0.51 |       0.43 |       0.30 |       0.05 |       0.10
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      10064 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      10027 |          0 |          0 |          0
  average dram access latency (ns)   |      78.09 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      77.91 |        inf |        inf |        inf
  average dram queueing delay        |      16.84 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |      16.66 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       6818 |         63 |         55 |         58 |         50 |         51 |         53 |         51 |         10 |         51 |         56 |         14
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4722 |       4412 |       3798 |       3795 |       3640 |       7226 |       3980 |      28745 |      22904 |      19169 |       2523 |       2749
