                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   45199549 |    6580850 |    5534415 |    6254074 |    6417177 |    6327601
  Cycles                             |  128544800 |  128544800 |  128544800 |  128544800 |   32136200 |   32136200
  IPC                                |       0.35 |       0.05 |       0.04 |       0.05 |       0.20 |       0.20
  Time (ns)                          |   32136200 |   32136200 |   32136200 |   32136200 |   32136200 |   32136200
  Idle time (ns)                     |     187807 |   26552635 |   26415877 |   26415035 |   26494947 |   26588630
  Idle time (%)                      |       0.6% |      82.6% |      82.2% |      82.2% |      82.4% |      82.7%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    5055667 |    1821033 |    1347149 |    1653790 |    1771385 |    1754763
  num incorrect                      |     345657 |      36354 |      56251 |      45726 |      36034 |      33259
  misprediction rate                 |      6.40% |      1.96% |      4.01% |      2.69% |      1.99% |      1.86%
  mpki                               |       7.65 |       5.52 |      10.16 |       7.31 |       5.62 |       5.26
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    7023060 |     304987 |     435777 |     365343 |     302011 |     293656
    num misses                       |        173 |         28 |         26 |         26 |         26 |         26
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   10447750 |    1630141 |    1549200 |    1619045 |    1601381 |    1571999
    num misses                       |      14511 |      11870 |      11983 |      12092 |      11927 |      11956
    miss rate                        |      0.14% |      0.73% |      0.77% |      0.75% |      0.74% |      0.76%
    mpki                             |       0.32 |       1.80 |       2.17 |       1.93 |       1.86 |       1.89
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      14684 |      11898 |      12009 |      12118 |      11953 |      11982
    num misses                       |        904 |        334 |        344 |        344 |        309 |        316
    miss rate                        |      6.16% |      2.81% |      2.86% |      2.84% |      2.59% |      2.64%
    mpki                             |       0.02 |       0.05 |       0.06 |       0.06 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    7023060 |     304987 |     435777 |     365343 |     302011 |     293656
    num cache misses                 |       3005 |        181 |        176 |        180 |        237 |        236
    miss rate                        |      0.04% |      0.06% |      0.04% |      0.05% |      0.08% |      0.08%
    mpki                             |       0.07 |       0.03 |       0.03 |       0.03 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   10447750 |    1630141 |    1549200 |    1619045 |    1601381 |    1571999
    num cache misses                 |     100041 |      67505 |      68782 |      68197 |      67499 |      67452
    miss rate                        |      0.96% |      4.14% |      4.44% |      4.21% |      4.22% |      4.29%
    mpki                             |       2.21 |      10.26 |      12.43 |      10.90 |      10.52 |      10.66
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     105170 |      67693 |      68958 |      68379 |      67739 |      67691
    num cache misses                 |      83599 |      59474 |      60045 |      60081 |      59905 |      59922
    miss rate                        |     79.49% |     87.86% |     87.07% |     87.86% |     88.44% |     88.52%
    mpki                             |       1.85 |       9.04 |      10.85 |       9.61 |       9.34 |       9.47
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      86057 |      59521 |      60086 |      60133 |      59939 |      59932
    num cache misses                 |      25760 |       2755 |       2819 |       2767 |       2737 |       2652
    miss rate                        |     29.93% |      4.63% |      4.69% |      4.60% |      4.57% |      4.43%
    mpki                             |       0.57 |       0.42 |       0.51 |       0.44 |       0.43 |       0.42
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      39410 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.36 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      11570 |       1448 |       1423 |       1384 |       1466 |       1432
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
