                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  181972101 |  184429596 |  185233672 |  185748767 |  158948983 |  158941638 |  190313346 |  191780642 |  167041061 |  161874394 |  167412087 |  164215754
  Cycles                             |   98480800 |   98480800 |   98480800 |   98480800 |   73860600 |   73860600 |   98480800 |   98480800 |   98480800 |   73860600 |   98480800 |   73860600
  IPC                                |       1.85 |       1.87 |       1.88 |       1.89 |       2.15 |       2.15 |       1.93 |       1.95 |       1.70 |       2.19 |       1.70 |       2.22
  Time (ns)                          |   24620200 |   24620200 |   24620200 |   24620200 |   24620200 |   24620200 |   24620200 |   24620200 |   24620200 |   24620200 |   24620200 |   24620200
  Idle time (ns)                     |       1359 |     350159 |     294546 |     337183 |     448849 |     451063 |     432110 |     526456 |    4105115 |    3042579 |    4053007 |    2982162
  Idle time (%)                      |       0.0% |       1.4% |       1.2% |       1.4% |       1.8% |       1.8% |       1.8% |       2.1% |      16.7% |      12.4% |      16.5% |      12.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   17817661 |   18795146 |   19063168 |   19234866 |   10302055 |   10299394 |   20756507 |   21245805 |   24923849 |   23201662 |   25047370 |   23981909
  num incorrect                      |      60852 |      55454 |      55457 |      55455 |      55438 |      55439 |      55449 |      55446 |      41262 |      41255 |      41264 |      41262
  misprediction rate                 |      0.34% |      0.29% |      0.29% |      0.29% |      0.54% |      0.54% |      0.27% |      0.26% |      0.17% |      0.18% |      0.16% |      0.17%
  mpki                               |       0.33 |       0.30 |       0.30 |       0.30 |       0.35 |       0.35 |       0.29 |       0.29 |       0.25 |       0.25 |       0.25 |       0.25
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   13850122 |   13732223 |   13732225 |   13732223 |   13731859 |   13732016 |   13732165 |   13732014 |    9916760 |    9916712 |    9916869 |    9916870
    num misses                       |        254 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   56137516 |   56299588 |   56433606 |   56519455 |   52052200 |   52051299 |   57280137 |   57524379 |   46417933 |   45556788 |   46480038 |   45947308
    num misses                       |      33803 |      33240 |      32857 |      32746 |      32176 |      32965 |      31654 |      33026 |      24117 |      23326 |      23468 |      23926
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.19 |       0.18 |       0.18 |       0.18 |       0.20 |       0.21 |       0.17 |       0.17 |       0.14 |       0.14 |       0.14 |       0.15
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      34057 |      33265 |      32882 |      32771 |      32201 |      32990 |      31679 |      33051 |      24142 |      23351 |      23493 |      23951
    num misses                       |       8760 |       7549 |       7607 |       7799 |       7756 |       7500 |       7486 |       7879 |       5118 |       4913 |       5033 |       5017
    miss rate                        |     25.72% |     22.69% |     23.13% |     23.80% |     24.09% |     22.73% |     23.63% |     23.84% |     21.20% |     21.04% |     21.42% |     20.95%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04 |       0.05 |       0.05 |       0.04 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   13850122 |   13732223 |   13732225 |   13732223 |   13731859 |   13732016 |   13732165 |   13732014 |    9916760 |    9916712 |    9916869 |    9916870
    num cache misses                 |      14249 |       3620 |       3317 |       3305 |      10790 |      10814 |       3800 |       3656 |       2701 |       8137 |       2719 |       8091
    miss rate                        |      0.10% |      0.03% |      0.02% |      0.02% |      0.08% |      0.08% |      0.03% |      0.03% |      0.03% |      0.08% |      0.03% |      0.08%
    mpki                             |       0.08 |       0.02 |       0.02 |       0.02 |       0.07 |       0.07 |       0.02 |       0.02 |       0.02 |       0.05 |       0.02 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   56137516 |   56299588 |   56433606 |   56519455 |   52052200 |   52051299 |   57280137 |   57524379 |   46417933 |   45556788 |   46480038 |   45947308
    num cache misses                 |    5810657 |    5795557 |    5794820 |    5794718 |    5796194 |    5794417 |    5794669 |    5794084 |    4212513 |    4210924 |    4213429 |    4211292
    miss rate                        |     10.35% |     10.29% |     10.27% |     10.25% |     11.14% |     11.13% |     10.12% |     10.07% |      9.08% |      9.24% |      9.07% |      9.17%
    mpki                             |      31.93 |      31.42 |      31.28 |      31.20 |      36.47 |      36.46 |      30.45 |      30.21 |      25.22 |      26.01 |      25.17 |      25.64
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5900183 |    5872656 |    5871775 |    5871316 |    5880809 |    5879287 |    5872743 |    5871912 |    4264692 |    4268960 |    4265550 |    4268899
    num cache misses                 |     650305 |     631040 |     629089 |     621180 |     706665 |     707921 |     616469 |     617588 |     437835 |     491953 |     428377 |     496959
    miss rate                        |     11.02% |     10.75% |     10.71% |     10.58% |     12.02% |     12.04% |     10.50% |     10.52% |     10.27% |     11.52% |     10.04% |     11.64%
    mpki                             |       3.57 |       3.42 |       3.40 |       3.34 |       4.45 |       4.45 |       3.24 |       3.22 |       2.62 |       3.04 |       2.56 |       3.03
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     986921 |     971725 |     967816 |     956195 |    1047891 |    1046847 |     889541 |     888628 |     621761 |     662867 |     611408 |     661302
    num cache misses                 |     619746 |     607100 |     604018 |     591030 |     602422 |     598199 |     516827 |     518688 |     370165 |     347230 |     354566 |     338999
    miss rate                        |     62.80% |     62.48% |     62.41% |     61.81% |     57.49% |     57.14% |     58.10% |     58.37% |     59.53% |     52.38% |     57.99% |     51.26%
    mpki                             |       3.41 |       3.29 |       3.26 |       3.18 |       3.79 |       3.76 |       2.72 |       2.70 |       2.22 |       2.15 |       2.12 |       2.06
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    5365971 |          0 |          0 |          0 |          0 |          0 |    5364742 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |    2155.15 |        inf |        inf |        inf |        inf |        inf |    2166.55 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |    2093.90 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |    2105.30 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     27.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     27.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
