                                     | Core 0     | Core 1    
  Instructions                       |  278879716 |  279916556
  Cycles                             |  108012080 |  108012080
  IPC                                |       2.58 |       2.59
  Time (ns)                          |   49096400 |   49096400
  Idle time (ns)                     |        280 |     308696
  Idle time (%)                      |       0.0% |       0.6%
Branch predictor stats               |            |           
  num correct                        |    1386953 |    1951192
  num incorrect                      |      17026 |       9923
  misprediction rate                 |      1.21% |      0.51%
  mpki                               |       0.06 |       0.04
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   26428267 |   26263258
    num misses                       |        233 |         38
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  128515646 |  128349618
    num misses                       |      15297 |      16283
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.05 |       0.06
  L2 TLB                             |            |           
    num accesses                     |      15530 |      16321
    num misses                       |        537 |        164
    miss rate                        |      3.46% |      1.00%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   26428267 |   26263258
    num cache misses                 |      76369 |      56362
    miss rate                        |      0.29% |      0.21%
    mpki                             |       0.27 |       0.20
  Cache L1-D                         |            |           
    num cache accesses               |  128515646 |  128349618
    num cache misses                 |     852221 |     818880
    miss rate                        |      0.66% |      0.64%
    mpki                             |       3.06 |       2.93
  Cache L2                           |            |           
    num cache accesses               |     951762 |     895012
    num cache misses                 |      61023 |      52563
    miss rate                        |      6.41% |      5.87%
    mpki                             |       0.22 |       0.19
  Cache L3                           |            |           
    num cache accesses               |     110005 |      96721
    num cache misses                 |      13891 |       3310
    miss rate                        |     12.63% |      3.42%
    mpki                             |       0.05 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |      17162 |          0
  average dram access latency (ns)   |      61.81 |        inf
  average dram queueing delay        |       0.56 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6826 |         43
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
