                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   11288580 |    3146782 |    3426300 |    2870472 |    3052179 |    3341016
  Cycles                             |   32140800 |   32140800 |   32140800 |   32140800 |    8035200 |    8035200
  IPC                                |       0.35 |       0.10 |       0.11 |       0.09 |       0.38 |       0.42
  Time (ns)                          |    8035200 |    8035200 |    8035200 |    8035200 |    8035200 |    8035200
  Idle time (ns)                     |       2165 |    6075898 |    6076734 |    6077702 |    6047908 |    6048254
  Idle time (%)                      |       0.0% |      75.6% |      75.6% |      75.6% |      75.3% |      75.3%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1382362 |     936810 |    1056974 |     820532 |     906241 |    1029486
  num incorrect                      |      80131 |      11301 |       7079 |      14726 |      11572 |       7164
  misprediction rate                 |      5.48% |      1.19% |      0.67% |      1.76% |      1.26% |      0.69%
  mpki                               |       7.10 |       3.59 |       2.07 |       5.13 |       3.79 |       2.14
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    1297033 |      68841 |      49429 |      90059 |      69155 |      49776
    num misses                       |        175 |         28 |         28 |         44 |         28 |         28
    miss rate                        |      0.01% |      0.04% |      0.06% |      0.05% |      0.04% |      0.06%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    2778896 |     672968 |     697550 |     647542 |     655180 |     682847
    num misses                       |       1690 |        196 |        154 |        191 |        206 |        157
    miss rate                        |      0.06% |      0.03% |      0.02% |      0.03% |      0.03% |      0.02%
    mpki                             |       0.15 |       0.06 |       0.04 |       0.07 |       0.07 |       0.05
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       1865 |        224 |        182 |        235 |        234 |        185
    num misses                       |        614 |        138 |        136 |        166 |        135 |        136
    miss rate                        |     32.92% |     61.61% |     74.73% |     70.64% |     57.69% |     73.51%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.06 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    1297033 |      68841 |      49429 |      90059 |      69155 |      49776
    num cache misses                 |       2688 |        176 |        176 |        357 |        174 |        176
    miss rate                        |      0.21% |      0.26% |      0.36% |      0.40% |      0.25% |      0.35%
    mpki                             |       0.24 |       0.06 |       0.05 |       0.12 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    2778896 |     672968 |     697550 |     647542 |     655180 |     682847
    num cache misses                 |      40581 |      16850 |      16754 |      17515 |      16858 |      16702
    miss rate                        |      1.46% |      2.50% |      2.40% |      2.70% |      2.57% |      2.45%
    mpki                             |       3.59 |       5.35 |       4.89 |       6.10 |       5.52 |       5.00
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      45465 |      17033 |      16936 |      17877 |      17032 |      16879
    num cache misses                 |      32035 |      15316 |      15337 |      15793 |      15369 |      15284
    miss rate                        |     70.46% |     89.92% |     90.56% |     88.34% |     90.24% |     90.55%
    mpki                             |       2.84 |       4.87 |       4.48 |       5.50 |       5.04 |       4.57
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      34479 |      15332 |      15349 |      15798 |      15369 |      15292
    num cache misses                 |      17177 |        839 |        674 |       1037 |        780 |        717
    miss rate                        |     49.82% |      5.47% |      4.39% |      6.56% |      5.08% |      4.69%
    mpki                             |       1.52 |       0.27 |       0.20 |       0.36 |       0.26 |       0.21
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      21164 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.38 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10582 |        406 |        333 |        478 |        377 |        381
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
