                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   13454594 |    5487738 |    4918550 |    5524895
  Cycles                             |   10635200 |   10635200 |   10635200 |   10635200
  IPC                                |       1.27 |       0.52 |       0.46 |       0.52
  Time (ns)                          |    2658800 |    2658800 |    2658800 |    2658800
  Idle time (ns)                     |       1432 |    1809264 |    1809711 |    1809722
  Idle time (%)                      |       0.1% |      68.0% |      68.1% |      68.1%
Branch predictor stats               |            |            |            |           
  num correct                        |    1773941 |    1627558 |    1374335 |    1651430
  num incorrect                      |      89943 |      15398 |      23061 |      14409
  misprediction rate                 |      4.83% |      0.94% |      1.65% |      0.86%
  mpki                               |       6.68 |       2.81 |       4.69 |       2.61
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1625837 |      87316 |     116656 |      82252
    num misses                       |        176 |         26 |         24 |         24
    miss rate                        |      0.01% |      0.03% |      0.02% |      0.03%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    3276144 |    1137646 |    1079103 |    1136550
    num misses                       |       2305 |        739 |        765 |        804
    miss rate                        |      0.07% |      0.06% |      0.07% |      0.07%
    mpki                             |       0.17 |       0.13 |       0.16 |       0.15
  L2 TLB                             |            |            |            |           
    num accesses                     |       2481 |        765 |        789 |        828
    num misses                       |        654 |        189 |        199 |        197
    miss rate                        |     26.36% |     24.71% |     25.22% |     23.79%
    mpki                             |       0.05 |       0.03 |       0.04 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1625837 |      87316 |     116656 |      82252
    num cache misses                 |       2834 |        163 |        157 |        157
    miss rate                        |      0.17% |      0.19% |      0.13% |      0.19%
    mpki                             |       0.21 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    3276144 |    1137646 |    1079103 |    1136550
    num cache misses                 |      52919 |      25240 |      26035 |      25277
    miss rate                        |      1.62% |      2.22% |      2.41% |      2.22%
    mpki                             |       3.93 |       4.60 |       5.29 |       4.58
  Cache L2                           |            |            |            |           
    num cache accesses               |      57918 |      25406 |      26200 |      25436
    num cache misses                 |      39412 |      22284 |      22687 |      22367
    miss rate                        |     68.05% |     87.71% |     86.59% |     87.93%
    mpki                             |       2.93 |       4.06 |       4.61 |       4.05
  Cache L3                           |            |            |            |           
    num cache accesses               |      43309 |      22289 |      22714 |      22395
    num cache misses                 |      19443 |       1937 |       2032 |       1855
    miss rate                        |     44.89% |      8.69% |      8.95% |      8.28%
    mpki                             |       1.45 |       0.35 |       0.41 |       0.34
DRAM summary                         |            |            |            |           
  num dram accesses                  |      25181 |          0 |          0 |          0
  average dram access latency (ns)   |      66.33 |        inf |        inf |        inf
  average dram queueing delay        |       5.08 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      11211 |        956 |        971 |        931
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
