                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   21412000 |    3790148 |    4063958 |    4037896 |    3652967 |    3963685 |    3945265 |    3733903 |    4063315 |    3982763 |    3465407 |    4100142
  Cycles                             |   21136800 |   21136800 |   21136800 |   21136800 |   15852600 |   15852600 |   15852600 |   15852600 |   21136800 |   21136800 |   21136800 |   21136800
  IPC                                |       1.01 |       0.18 |       0.19 |       0.19 |       0.23 |       0.25 |       0.25 |       0.24 |       0.19 |       0.19 |       0.16 |       0.19
  Time (ns)                          |    5284200 |    5284200 |    5284200 |    5284200 |    5284200 |    5284200 |    5284200 |    5284200 |    5284200 |    5284200 |    5284200 |    5284200
  Idle time (ns)                     |       1422 |    4515129 |    4515466 |    4515525 |    4505578 |    4505533 |    4505788 |    4505873 |    4515865 |    4515971 |    4515850 |    4516412
  Idle time (%)                      |       0.0% |      85.4% |      85.5% |      85.5% |      85.3% |      85.3% |      85.3% |      85.3% |      85.5% |      85.5% |      85.5% |      85.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2411968 |    1158814 |    1273594 |    1263339 |    1111095 |    1240883 |    1234523 |    1146392 |    1251617 |    1218037 |    1002954 |    1266538
  num incorrect                      |     162511 |      10803 |       6950 |       7330 |      11091 |       6837 |       6805 |      10200 |      10714 |      11754 |      19078 |      10359
  misprediction rate                 |      6.31% |      0.92% |      0.54% |      0.58% |      0.99% |      0.55% |      0.55% |      0.88% |      0.85% |      0.96% |      1.87% |      0.81%
  mpki                               |       7.59 |       2.85 |       1.71 |       1.82 |       3.04 |       1.72 |       1.72 |       2.73 |       2.64 |       2.95 |       5.51 |       2.53
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2785164 |      91333 |      66849 |      68455 |      95305 |      67201 |      68226 |      84930 |      89331 |      99416 |     143315 |      87628
    num misses                       |        177 |         26 |         26 |         26 |         26 |         27 |         26 |         26 |         26 |         26 |         28 |         26
    miss rate                        |      0.01% |      0.03% |      0.04% |      0.04% |      0.03% |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4998166 |     772539 |     800921 |     797715 |     752999 |     782317 |     780778 |     759752 |     818203 |     809577 |     757090 |     822811
    num misses                       |       2292 |        637 |        627 |        661 |        618 |        608 |        593 |        665 |        644 |        622 |        586 |        594
    miss rate                        |      0.05% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.09% |      0.08% |      0.08% |      0.08% |      0.07%
    mpki                             |       0.11 |       0.17 |       0.15 |       0.16 |       0.17 |       0.15 |       0.15 |       0.18 |       0.16 |       0.16 |       0.17 |       0.14
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2469 |        663 |        653 |        687 |        644 |        635 |        619 |        691 |        670 |        648 |        614 |        620
    num misses                       |        677 |        194 |        187 |        190 |        172 |        167 |        167 |        180 |        176 |        172 |        168 |        174
    miss rate                        |     27.42% |     29.26% |     28.64% |     27.66% |     26.71% |     26.30% |     26.98% |     26.05% |     26.27% |     26.54% |     27.36% |     28.06%
    mpki                             |       0.03 |       0.05 |       0.05 |       0.05 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2785164 |      91333 |      66849 |      68455 |      95305 |      67201 |      68226 |      84930 |      89331 |      99416 |     143315 |      87628
    num cache misses                 |       2763 |        171 |        171 |        170 |        170 |        175 |        171 |        170 |        169 |        169 |        176 |        171
    miss rate                        |      0.10% |      0.19% |      0.26% |      0.25% |      0.18% |      0.26% |      0.25% |      0.20% |      0.19% |      0.17% |      0.12% |      0.20%
    mpki                             |       0.13 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4998166 |     772539 |     800921 |     797715 |     752999 |     782317 |     780778 |     759752 |     818203 |     809577 |     757090 |     822811
    num cache misses                 |      45746 |      18339 |      18165 |      18146 |      18375 |      17944 |      18147 |      18209 |      18220 |      18146 |      18413 |      18053
    miss rate                        |      0.92% |      2.37% |      2.27% |      2.27% |      2.44% |      2.29% |      2.32% |      2.40% |      2.23% |      2.24% |      2.43% |      2.19%
    mpki                             |       2.14 |       4.84 |       4.47 |       4.49 |       5.03 |       4.53 |       4.60 |       4.88 |       4.48 |       4.56 |       5.31 |       4.40
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      50671 |      18591 |      18410 |      18376 |      18640 |      18175 |      18373 |      18475 |      19022 |      18970 |      19405 |      18847
