                                     | Core 0     | Core 1    
  Instructions                       |  378559442 |  380301331
  Cycles                             |  131270300 |  131270300
  IPC                                |       2.88 |       2.90
  Time (ns)                          |  131270300 |  131270300
  Idle time (ns)                     |        371 |     522630
  Idle time (%)                      |       0.0% |       0.4%
Branch predictor stats               |            |           
  num correct                        |   19564953 |   20291954
  num incorrect                      |     158654 |     152009
  misprediction rate                 |      0.80% |      0.74%
  mpki                               |       0.42 |       0.40
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   35298261 |   35186782
    num misses                       |        235 |         25
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  123094075 |  123162653
    num misses                       |     107475 |     105937
    miss rate                        |      0.09% |      0.09%
    mpki                             |       0.28 |       0.28
  L2 TLB                             |            |           
    num accesses                     |     107710 |     105962
    num misses                       |      24725 |      23832
    miss rate                        |     22.96% |     22.49%
    mpki                             |       0.07 |       0.06
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   35298261 |   35186782
    num cache misses                 |      29380 |      17050
    miss rate                        |      0.08% |      0.05%
    mpki                             |       0.08 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |  123094075 |  123162653
    num cache misses                 |   13923348 |   13916395
    miss rate                        |     11.31% |     11.30%
    mpki                             |      36.78 |      36.59
  Cache L2                           |            |           
    num cache accesses               |   14150163 |   14128283
    num cache misses                 |    1626209 |    1603617
    miss rate                        |     11.49% |     11.35%
    mpki                             |       4.30 |       4.22
  Cache L3                           |            |           
    num cache accesses               |    2189480 |    2148340
    num cache misses                 |    1190523 |    1150666
    miss rate                        |     54.37% |     53.56%
    mpki                             |       3.14 |       3.03
DRAM summary                         |            |           
  num dram accesses                  |    4325849 |          0
  average dram access latency (ns)   |      61.41 |        inf
  average dram queueing delay        |       0.16 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |     719061 |     693695
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
