,avg_ipc,ipc_cv,pe_ratio,local_ratio,remote_ratio,l2_intensity,l3_intensity,mem_intensity,read_ratio,Packed,Scatter,HPO,EPO
BC,0.13154921052699534,0.6576452130536533,1.7218158386666536,1.0,0.0,0.0005123280103549218,3.0405754943235023e-05,0.00036919993796987046,0.9917074307011414,0.0,0.0,0.0,0.0
BFS,0.13102404674474138,0.6567292150008117,1.7175509969357032,1.0,0.0,0.0005166650375023281,2.8871140783863115e-05,0.0003691744113675982,0.9917590092187355,0.0,0.0,0.0,0.0
BT,0.6736476504628293,0.025264943478529603,1.0481193181390915,1.0,0.0,0.0019677433930962085,2.2440396534014332e-06,8.076298712591758e-06,0.9992080671559052,0.0,0.0,0.0,0.0
CC,0.13014736632574292,0.660697172144077,1.7274088833568453,1.0,0.0,0.0005194367234159021,2.8741167405145015e-05,0.00037001259162519504,0.9917305176602504,0.0,0.0,0.0,0.0
CG,0.5346037578730634,0.021207549446475012,1.040804432669601,1.0,0.0,0.024755269222134696,7.271787288955649e-06,2.26034233218907e-05,0.9976049990202269,0.0,0.0,0.0,0.0
FT,0.6914510558044362,0.03264240036478378,1.066345380444624,1.0,0.0,0.014623824146008144,0.000487597712965445,0.0022484682822293814,0.5350971388135748,0.0,0.0,0.0,0.0
IS,0.23538873828398965,0.03800864534104619,1.0682355838510758,1.0,0.0,0.0029945933214546618,1.2710050945522471e-05,0.00015448336874275336,0.9985874171465826,0.0,0.0,0.0,0.0
MG,0.41545577250089116,0.04273344043691673,1.087788803768734,1.0,0.0,0.008906118712820118,1.978372267677628e-05,0.00017092522263871125,0.9979880721419846,0.0,0.0,0.0,0.0
PR,0.1314375203249581,0.6592146860250625,1.7252743812996099,1.0,0.0,0.0005133392647635636,2.6886076925835232e-05,0.0003688936674436107,0.9919351079203766,0.0,0.0,0.0,0.0
SP,0.5406742613497608,0.055770352856856505,1.0143787901576091,1.0,0.0,0.007700345671556562,2.109598493055727e-06,1.736192209267466e-05,0.999141760904685,0.0,0.0,0.0,0.0
SSSP,0.17083658464732843,0.46259730932989335,1.4929800147697818,1.0,0.0,0.0004250212118343886,2.183945363878375e-05,0.00030496782688022007,0.9894100431300061,0.0,0.0,0.0,0.0
TC,0.13266204345186225,0.6496412221817202,1.7085612685140565,1.0,0.0,0.0005201038875082515,3.541070118466044e-05,0.0003723283385178118,0.9922376749988449,0.0,0.0,0.0,0.0
lavaMD,0.25632792768433793,0.0,1.0,1.0,0.0,0.004749775247228049,1.7980221756068326e-05,0.01805513934671861,1.0,0.0,0.0,0.0,0.0
