,avg_ipc,ipc_cv,pe_ratio,local_ratio,remote_ratio,l2_intensity,l3_intensity,mem_intensity,read_ratio,cpi_l3_ratio,cpi_dram_local_ratio,cpi_dram_remote_ratio,cpi_branch_ratio,cpi_sync_ratio,uop_load_ratio,uop_store_ratio,uop_fp_ratio,dtlb_miss_rate,branch_mispredict_rate,avg_dram_latency,dram_queue_ratio,l1d_hit_ratio,futex_wake_per_minst,mem_bw_mbps,operational_intensity,itlb_miss_rate,stlb_miss_rate,load_l1_ratio,best_strategy
BC,0.2765434551685849,0.49464281875880634,0.4304539596666634,1.0,0.0,0.0005123280103549218,3.0405754943235023e-05,0.00036919993796987046,0.9917074307011414,0.0002609762077594876,0.0249632875984938,0.0,0.20354968636736612,0.675686753925639,0.152749060045629,0.029322293482296632,5.307178425852667e-08,0.0003701584951374634,0.01614765980739502,61433080.109926246,0.14534623002049685,0.9839544412806445,2.9688,171.2857317796558,1.4680321322873115e-06,0.00020517494215287218,0.5176226675881134,0.9660644043704469,Scatter
BFS,0.27566609419019883,0.49525054742970515,0.4293877492339258,1.0,0.0,0.0005166650375023281,2.8871140783863115e-05,0.0003691744113675982,0.9917590092187355,0.0002815215249096632,0.024852679322926598,0.0,0.2040546917958758,0.6769084327087875,0.15273641582961,0.02929591321257336,5.305270011186692e-08,0.00036238454272620083,0.01622259078718284,61431166.66823154,0.14381696922326884,0.9839297340709807,2.9703,170.65008848177249,1.467067273836909e-06,0.00020653220282503657,0.5311072056239016,0.9660195260131103,Scatter
BT,1.6603787131944203,0.5848094330503546,0.2620298295347729,1.0,0.0,0.0019677433930962085,2.2440396534014332e-06,8.076298712591758e-06,0.9992080671559052,6.769028379173894e-06,0.000332028206598892,0.0,0.0022674195790117753,1.1239007998020705e-06,0.22029723121718864,0.09879893857577728,0.12432740639676593,8.295271132645554e-05,0.0003494592551516063,66817754.58311318,4.448885554189653,0.9901027028391582,7.8347,29.296930176759123,179.82397396438762,9.906990596087523e-06,0.05648606752618247,0.9178184290889425,Scatter
CC,0.27330232243070346,0.49470012549203324,0.4318522208392113,1.0,0.0,0.0005194367234159021,2.8741167405145015e-05,0.00037001259162519504,0.9917305176602504,0.00025974015042201464,0.024874328155345293,0.0,0.20591068774802704,0.6783957173898528,0.1527794447271165,0.029351307019509477,5.320051081002459e-08,0.00036947405638136145,0.016357204038769932,61452602.048334666,0.1609485528801235,0.9838811809585922,2.9672,169.38538001765014,1.472181655438828e-06,0.00018410186272381843,0.5310440513354145,0.9658791209090417,Scatter
CG,1.3204758620027204,0.5871035258208727,0.2602011081674003,1.0,0.0,0.024755269222134696,7.271787288955649e-06,2.26034233218907e-05,0.9976049990202269,3.264517648498586e-05,0.0008542396232029389,0.0,0.047926540494861454,0.004323306619851045,0.30727845955683825,0.015329726806053542,0.08997675164950279,0.00014165441896994688,0.004329605233764832,1121059086.241952,847.0196018621442,0.9232694705687557,48.8331,142.72095004015281,24.106155811453764,3.418814149954279e-05,0.10827402618569022,0.8348786460573501,Scatter
FT,1.695326393898672,0.5790583146524898,0.266586345111156,1.0,0.0,0.014623824146008144,0.000487597712965445,0.0022484682822293814,0.5350971388135748,0.0006013761871236251,0.13709100140988562,0.0,0.024373887538204898,1.2195282322706703e-06,0.16486670886123708,0.14449581698516925,0.11092837233493746,0.000871791615558458,0.005858773612143501,2568126569.332654,1049.3326188528192,0.8963739170855827,0.9136,9444.392309801651,0.633540450143918,5.262446878364739e-06,0.1842750952928501,0.658228156336385,Scatter
IS,0.5768228671452097,0.5786083025917077,0.26705889596276894,1.0,0.0,0.0029945933214546618,1.2710050945522471e-05,0.00015448336874275336,0.9985874171465826,6.918448513172893e-05,0.0025299083346818716,0.0,0.006336787378836065,9.074194324971372e-06,0.23056264469800963,0.09726476530492409,0.07406492345825172,0.0035969607670154253,0.002950175377574926,362045163.1882481,240.4005236395263,0.9756373145646043,9.7924,212.0860106565864,4.460015982045702,9.965422790079773e-05,0.04170261719873454,0.982267963195164,Scatter
MG,1.0124353689298098,0.572471862607766,0.2719472009421835,1.0,0.0,0.008906118712820118,1.978372267677628e-05,0.00017092522263871125,0.9979880721419846,0.0001455111267002011,0.006487117962538662,0.0,0.022307012186717927,1.7164680150220863e-05,0.310110545776618,0.05985032117596575,0.02481914678711399,0.00020778231382484426,0.004124710640266785,530472029.99784005,375.01063761595884,0.9710848791508979,134.1652,518.3816668532826,3.467374136006912,0.00010824767170625456,0.3376651505306476,0.8789974557953202,Scatter
PR,0.2761248089446226,0.4949934608341728,0.43131859532490247,1.0,0.0,0.0005133392647635636,2.6886076925835232e-05,0.0003688936674436107,0.9919351079203766,0.00022888254655058237,0.024894526903266077,0.0,0.20377851149087858,0.6757200745185911,0.15276577273980743,0.02927618981746699,5.29601577026392e-08,0.00033498163489357135,0.016157697360156768,61429232.44665852,0.14227110073250152,0.9840264723476331,2.9588,170.71424864354208,1.4686530688974528e-06,0.00020816161499819433,0.5556393813655225,0.9662419841261264,Scatter
SP,1.345896591913702,0.5965119943891395,0.2535946975394023,1.0,0.0,0.007700345671556562,2.109598493055727e-06,1.736192209267466e-05,0.999141760904685,1.116907423550423e-05,0.0006336580009526485,0.0,0.008737389844625349,2.6022598437926646e-06,0.21009956939730962,0.07060832430848468,0.08774759696057688,0.00021282882858570726,0.0012963342312031347,67682416.70961548,5.139940785485751,0.9604589061389566,47.7938,53.694457112524,64.75737788009701,2.0548021412553375e-05,0.05437784712507622,0.808696865985836,Scatter
