                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11858524 |    3636228 |    3224029 |    3695726
  Cycles                             |   10039200 |   10039200 |   10039200 |   10039200
  IPC                                |       1.18 |       0.36 |       0.32 |       0.37
  Time (ns)                          |    2509800 |    2509800 |    2509800 |    2509800
  Idle time (ns)                     |       1674 |    1835370 |    1835738 |    1835654
  Idle time (%)                      |       0.1% |      73.1% |      73.1% |      73.1%
Branch predictor stats               |            |            |            |           
  num correct                        |    1434752 |    1070914 |     901190 |    1096640
  num incorrect                      |      86338 |      14014 |      19696 |      13273
  misprediction rate                 |      5.68% |      1.29% |      2.14% |      1.20%
  mpki                               |       7.28 |       3.85 |       6.11 |       3.59
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1304111 |     127757 |     166050 |     122314
    num misses                       |        175 |         26 |         26 |         28
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    2647983 |     799234 |     756791 |     803715
    num misses                       |       1655 |        165 |        164 |        148
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.14 |       0.05 |       0.05 |       0.04
  L2 TLB                             |            |            |            |           
    num accesses                     |       1830 |        191 |        190 |        176
    num misses                       |        591 |        149 |        148 |        140
    miss rate                        |     32.30% |     78.01% |     77.89% |     79.55%
    mpki                             |       0.05 |       0.04 |       0.05 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1304111 |     127757 |     166050 |     122314
    num cache misses                 |       2756 |        187 |        187 |        196
    miss rate                        |      0.21% |      0.15% |      0.11% |      0.16%
    mpki                             |       0.23 |       0.05 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2647983 |     799234 |     756791 |     803715
    num cache misses                 |      46434 |      22833 |      23071 |      22767
    miss rate                        |      1.75% |      2.86% |      3.05% |      2.83%
    mpki                             |       3.92 |       6.28 |       7.16 |       6.16
  Cache L2                           |            |            |            |           
    num cache accesses               |      51351 |      23023 |      23265 |      22966
    num cache misses                 |      36836 |      20440 |      20585 |      20410
    miss rate                        |     71.73% |     88.78% |     88.48% |     88.87%
    mpki                             |       3.11 |       5.62 |       6.38 |       5.52
  Cache L3                           |            |            |            |           
    num cache accesses               |      39178 |      20451 |      20593 |      20425
    num cache misses                 |      17553 |       1109 |       1148 |       1076
    miss rate                        |     44.80% |      5.42% |      5.57% |      5.27%
    mpki                             |       1.48 |       0.30 |       0.36 |       0.29
DRAM summary                         |            |            |            |           
  num dram accesses                  |      20789 |          0 |          0 |          0
  average dram access latency (ns)   |      62.24 |        inf |        inf |        inf
  average dram queueing delay        |       0.98 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10769 |        514 |        528 |        535
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
