                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |       2.89 |       2.27 |       2.34 |       2.24 |       2.64 |       2.20 |       2.25 |       2.32 |       2.81 |       2.30 |       2.27 |       2.24 |       2.48 |       2.28 |       2.22 |       2.25
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      37476 |       7161 |       7274 |       7071 |       7561 |       6993 |       7071 |       7064 |       7761 |       7272 |       7269 |       7167 |       7442 |       7239 |       7154 |       7196
    num cache misses                 |      24158 |       6783 |       6858 |       6728 |       7005 |       6722 |       6767 |       6795 |       7025 |       6777 |       6775 |       6772 |       6899 |       6782 |       6720 |       6729
    miss rate                        |     64.46% |     94.72% |     94.28% |     95.15% |     92.65% |     96.12% |     95.70% |     96.19% |     90.52% |     93.19% |     93.20% |     94.49% |     92.70% |     93.69% |     93.93% |     93.51%
    mpki                             |       2.16 |       2.23 |       2.29 |       2.20 |       2.55 |       2.19 |       2.23 |       2.31 |       2.72 |       2.27 |       2.23 |       2.24 |       2.43 |       2.25 |       2.20 |       2.23
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      27044 |       6840 |       6923 |       6769 |       7130 |       6760 |       6819 |       6862 |       7334 |       6988 |       6978 |       6976 |       7127 |       6977 |       6909 |       6934
    num cache misses                 |      20642 |       3471 |       3545 |       3384 |       3724 |       3404 |       3470 |       3489 |       3970 |       3863 |       3785 |       3749 |       3889 |       3682 |       3736 |       3743
    miss rate                        |     76.33% |     50.75% |     51.21% |     49.99% |     52.23% |     50.36% |     50.89% |     50.85% |     54.13% |     55.28% |     54.24% |     53.74% |     54.57% |     52.77% |     54.07% |     53.98%
