                                     | Core 0     | Core 1    
  Instructions                       |  115551779 |  117713707
  Cycles                             |   51460000 |   51460000
  IPC                                |       2.25 |       2.29
  Time (ns)                          |   12865000 |   12865000
  Idle time (ns)                     |        549 |     247101
  Idle time (%)                      |       0.0% |       1.9%
Branch predictor stats               |            |           
  num correct                        |    3426750 |    4472026
  num incorrect                      |      28689 |      24336
  misprediction rate                 |      0.83% |      0.54%
  mpki                               |       0.25 |       0.21
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   10561880 |   10319687
    num misses                       |        203 |         33
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   49669528 |   49502127
    num misses                       |      11270 |      19252
    miss rate                        |      0.02% |      0.04%
    mpki                             |       0.10 |       0.16
  L2 TLB                             |            |           
    num accesses                     |      11473 |      19285
    num misses                       |        566 |        167
    miss rate                        |      4.93% |      0.87%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   10561880 |   10319687
    num cache misses                 |      69354 |      48175
    miss rate                        |      0.66% |      0.47%
    mpki                             |       0.60 |       0.41
  Cache L1-D                         |            |           
    num cache accesses               |   49669528 |   49502127
    num cache misses                 |    2541980 |    2482406
    miss rate                        |      5.12% |      5.01%
    mpki                             |      22.00 |      21.09
  Cache L2                           |            |           
    num cache accesses               |    2667248 |    2581231
    num cache misses                 |      96351 |      91818
    miss rate                        |      3.61% |      3.56%
    mpki                             |       0.83 |       0.78
  Cache L3                           |            |           
    num cache accesses               |     183315 |     169989
    num cache misses                 |      14075 |       3266
    miss rate                        |      7.68% |      1.92%
    mpki                             |       0.12 |       0.03
DRAM summary                         |            |           
  num dram accesses                  |      17303 |          0
  average dram access latency (ns)   |      80.56 |        inf
  average dram queueing delay        |      19.31 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6829 |         41
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
