                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |      11.61 |      11.82 |      11.96 |      11.65 |      13.50 |      14.51 |        inf |        inf |      11.78 |      11.22 |      11.62 |      11.42 |      13.30 |      13.24 |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      71519 |      68869 |      68656 |      70081 |      71847 |      88348 |          0 |          0 |      73533 |      69012 |      69979 |      70258 |      72186 |      72298 |          0 |          0
    num cache misses                 |      40605 |      42647 |      42652 |      42142 |      41557 |      50053 |          0 |          0 |      41247 |      40802 |      42205 |      42116 |      41606 |      41121 |          0 |          0
    miss rate                        |     56.78% |     61.92% |     62.12% |     60.13% |     57.84% |     56.65% |       inf% |       inf% |     56.09% |     59.12% |     60.31% |     59.94% |     57.64% |     56.88% |       inf% |       inf%
    mpki                             |       8.90 |      10.08 |      10.18 |       9.73 |      10.64 |      11.05 |        inf |        inf |       9.04 |       8.85 |       9.71 |       9.43 |      10.35 |      10.30 |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      60206 |      60627 |      60698 |      61373 |      60155 |      71012 |          0 |          0 |      62331 |      57289 |      61091 |      60428 |      59731 |      59837 |          0 |          0
    num cache misses                 |      23382 |      17552 |      17191 |      19721 |      24022 |      29822 |          0 |          0 |      19326 |      23365 |      25130 |      21991 |      16407 |      16910 |          0 |          0
    miss rate                        |     38.84% |     28.95% |     28.32% |     32.13% |     39.93% |     42.00% |       inf% |       inf% |     31.01% |     40.78% |     41.14% |     36.39% |     27.47% |     28.26% |       inf% |       inf%
    mpki                             |       5.12 |       4.15 |       4.10 |       4.56 |       6.15 |       6.59 |        inf |        inf |       4.23 |       5.07 |       5.78 |       4.93 |       4.08 |       4.23 |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      14805 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |       4551 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     176.38 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     435.08 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     115.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |     373.83 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |         15 |         25 |         35 |         28 |         17 |       6568 |          0 |          0 |         14 |         17 |         18 |         11 |         14 |         10 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      13623 |      13688 |      13175 |      13167 |      12170 |      11961 |          0 |          0 |      14422 |      12853 |      13986 |      13472 |      12441 |      12608 |          0 |          0
