spec,n,acc_POSM,acc_RF分類,acc_SVM,acc_RF回帰,ratio_POSM,ratio_RF分類,ratio_SVM,ratio_RF回帰
2,13,0.07692307692307693,0.6153846153846154,0.6923076923076923,0.3076923076923077,1.0095793941529458,1.0105977499744196,1.0088963511410123,1.0089375308758444
4,13,0.07692307692307693,0.7692307692307693,0.6923076923076923,0.3076923076923077,1.0094010895957877,1.0074310809128975,1.0232430125318106,1.0040195466795547
8,13,0.07692307692307693,1.0,1.0,0.46153846153846156,1.0003942665748786,1.0004822957129764,1.0004822957129764,1.000736448897917
16,13,0.0,0.8461538461538461,0.9230769230769231,0.38461538461538464,1.0105759583647476,1.0133717173648493,1.0020166299095175,1.0023652435851185
ALLTH,52,0.057692307692307696,0.6923076923076923,0.75,0.36538461538461536,1.00748767717209,1.1328233303283644,1.0244571795915494,1.0536123475989383
