                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3925058 |    4013327 |    3947869 |    3980951 |    3537806 |    3571752 |    3537761 |    3504159 |    4265546 |    4223434 |    4208467 |    4223148 |    3736475 |    3730197 |    3744710 |    3663379
  Cycles                             |    3874400 |    3874400 |    3874400 |    3874400 |    2939200 |    2939200 |    2939200 |    2939200 |    3874400 |    3874400 |    3874400 |    3874400 |    2939200 |    2939200 |    2939200 |    2939200
  IPC                                |       1.01 |       1.04 |       1.02 |       1.03 |       1.20 |       1.22 |       1.20 |       1.19 |       1.10 |       1.09 |       1.09 |       1.09 |       1.27 |       1.27 |       1.27 |       1.25
  Time (ns)                          |    1336000 |    1336000 |    1336000 |    1336000 |    1336000 |    1336000 |    1336000 |    1336000 |    1336000 |    1336000 |    1336000 |    1336000 |    1336000 |    1336000 |    1336000 |    1336000
  Idle time (ns)                     |        330 |     417854 |     420156 |     420894 |     421632 |     422346 |     423094 |     423831 |     424546 |     425241 |     425998 |     426729 |     427441 |     428169 |     428911 |     429653
  Idle time (%)                      |       0.0% |      31.3% |      31.4% |      31.5% |      31.6% |      31.6% |      31.7% |      31.7% |      31.8% |      31.8% |      31.9% |      31.9% |      32.0% |      32.0% |      32.1% |      32.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     374203 |     630555 |     617670 |     628237 |     509379 |     521297 |     512309 |     502359 |     736526 |     732711 |     729129 |     733376 |     593583 |     591730 |     596626 |     572918
  num incorrect                      |      20706 |       4221 |       4139 |       4147 |       3761 |       3649 |       3643 |       3719 |       3419 |       3172 |       3134 |       3121 |       3239 |       3220 |       3262 |       3157
  misprediction rate                 |      5.24% |      0.66% |      0.67% |      0.66% |      0.73% |      0.70% |      0.71% |      0.73% |      0.46% |      0.43% |      0.43% |      0.42% |      0.54% |      0.54% |      0.54% |      0.55%
  mpki                               |       5.28 |       1.05 |       1.05 |       1.04 |       1.06 |       1.02 |       1.03 |       1.06 |       0.80 |       0.75 |       0.74 |       0.74 |       0.87 |       0.86 |       0.87 |       0.86
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     417756 |     249475 |     245035 |     244479 |     241628 |     240769 |     240192 |     240464 |     234614 |     230568 |     229811 |     229946 |     230157 |     230407 |     229661 |     230123
