                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   44478051 |   45115135 |   44508428 |   45159235 |   43448163 |   42946202 |   42643012 |   43196029
  Cycles                             |   82186000 |   82186000 |   82186000 |   82186000 |   20546500 |   20546500 |   20546500 |   20546500
  IPC                                |       0.54 |       0.55 |       0.54 |       0.55 |       2.11 |       2.09 |       2.08 |       2.10
  Time (ns)                          |   20546500 |   20546500 |   20546500 |   20546500 |   20546500 |   20546500 |   20546500 |   20546500
  Idle time (ns)                     |     379251 |     682054 |     528054 |     466768 |     467167 |     467567 |     467967 |     469431
  Idle time (%)                      |       1.8% |       3.3% |       2.6% |       2.3% |       2.3% |       2.3% |       2.3% |       2.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    7781163 |    8199957 |    8028201 |    8445290 |    7740125 |    7496103 |    7181173 |    7661790
  num incorrect                      |      40266 |      31651 |      33171 |      33200 |      33926 |      34263 |      34121 |      31326
  misprediction rate                 |      0.51% |      0.38% |      0.41% |      0.39% |      0.44% |      0.45% |      0.47% |      0.41%
  mpki                               |       0.91 |       0.70 |       0.75 |       0.74 |       0.78 |       0.80 |       0.80 |       0.73
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1573157 |    1442110 |    1434116 |    1392377 |    1425286 |    1476900 |    1561475 |    1482292
    num misses                       |        214 |         27 |         27 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   16319321 |   16110355 |   15964206 |   15800829 |   15687399 |   15690866 |   15911211 |   15613860
    num misses                       |       1893 |       3253 |       2037 |       1164 |       1619 |       2788 |       1984 |       3266
    miss rate                        |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.02%
    mpki                             |       0.04 |       0.07 |       0.05 |       0.03 |       0.04 |       0.06 |       0.05 |       0.08
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       2107 |       3280 |       2064 |       1191 |       1646 |       2815 |       2011 |       3293
    num misses                       |        567 |        205 |        208 |        205 |        207 |        204 |        200 |        197
    miss rate                        |     26.91% |      6.25% |     10.08% |     17.21% |     12.58% |      7.25% |      9.95% |      5.98%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1573157 |    1442110 |    1434116 |    1392377 |    1425286 |    1476900 |    1561475 |    1482292
    num cache misses                 |      12625 |        304 |        298 |        305 |        441 |        431 |        422 |        427
    miss rate                        |      0.80% |      0.02% |      0.02% |      0.02% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.28 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   16319321 |   16110355 |   15964206 |   15800829 |   15687399 |   15690866 |   15911211 |   15613860
    num cache misses                 |    1220371 |    1193310 |    1189231 |    1139563 |    1164228 |    1159072 |    1205665 |    1152576
    miss rate                        |      7.48% |      7.41% |      7.45% |      7.21% |      7.42% |      7.39% |      7.58% |      7.38%
    mpki                             |      27.44 |      26.45 |      26.72 |      25.23 |      26.80 |      26.99 |      28.27 |      26.68
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1245441 |    1203766 |    1199639 |    1149537 |    1174885 |    1169276 |    1217376 |    1162289
    num cache misses                 |      87180 |      77418 |      77045 |      77265 |      77888 |      78420 |      77398 |      78232
    miss rate                        |      7.00% |      6.43% |      6.42% |      6.72% |      6.63% |      6.71% |      6.36% |      6.73%
    mpki                             |       1.96 |       1.72 |       1.73 |       1.71 |       1.79 |       1.83 |       1.82 |       1.81
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     101462 |      87586 |      87583 |      87364 |      88532 |      88622 |      89117 |      87946
    num cache misses                 |      15096 |       4482 |       4430 |       4300 |       4365 |       4388 |       4524 |       4309
    miss rate                        |     14.88% |      5.12% |      5.06% |      4.92% |      4.93% |      4.95% |      5.08% |      4.90%
    mpki                             |       0.34 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.11 |       0.10
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      45819 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |    1121.06 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |    1059.81 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       6816 |         37 |         29 |         34 |        310 |        283 |        306 |        130
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
