                                     | Core 0     | Core 1    
  Instructions                       |   48885944 |   10981139
  Cycles                             |   39872000 |   39872000
  IPC                                |       1.23 |       0.28
  Time (ns)                          |    9968000 |    9968000
  Idle time (ns)                     |       1560 |    6967530
  Idle time (%)                      |       0.0% |      69.9%
Branch predictor stats               |            |           
  num correct                        |    5337741 |    2435127
  num incorrect                      |     445542 |     114114
  misprediction rate                 |      7.70% |      4.48%
  mpki                               |       9.11 |      10.39
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    5842873 |     779341
    num misses                       |        188 |         48
    miss rate                        |      0.00% |      0.01%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   12268288 |    3496186
    num misses                       |      37291 |      35758
    miss rate                        |      0.30% |      1.02%
    mpki                             |       0.76 |       3.26
  L2 TLB                             |            |           
    num accesses                     |      37479 |      35806
    num misses                       |        998 |        510
    miss rate                        |      2.66% |      1.42%
    mpki                             |       0.02 |       0.05
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    5842873 |     779341
    num cache misses                 |       3800 |        692
    miss rate                        |      0.07% |      0.09%
    mpki                             |       0.08 |       0.06
  Cache L1-D                         |            |           
    num cache accesses               |   12268288 |    3496186
    num cache misses                 |     197931 |     163371
    miss rate                        |      1.61% |      4.67%
    mpki                             |       4.05 |      14.88
  Cache L2                           |            |           
    num cache accesses               |     205953 |     170138
    num cache misses                 |     136815 |     115286
    miss rate                        |     66.43% |     67.76%
    mpki                             |       2.80 |      10.50
  Cache L3                           |            |           
    num cache accesses               |     141460 |     121499
    num cache misses                 |     130391 |     112211
    miss rate                        |     92.18% |     92.36%
    mpki                             |       2.67 |      10.22
DRAM summary                         |            |           
  num dram accesses                  |      19533 |      19493
  average dram access latency (ns)   |      61.34 |      61.33
  average dram queueing delay        |       0.09 |       0.08
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10736 |        271
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       4481 |       9023
