                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11    
  Instructions                       |  3635883865 |  3939301633 |  3949964531 |  3905111562 |  3749877233 |  3786441066 |  3848192888 |  3962366705 |  4932912869 |  4809289273 |  4746868713 |  4909804569
  Cycles                             |  2199216300 |  2199216300 |  2199216300 |  2199216300 |  2932288400 |  2932288400 |  2932288400 |  2932288400 |  2199216300 |  2199216300 |  2199216300 |  2199216300
  IPC                                |        1.65 |        1.79 |        1.80 |        1.78 |        1.28 |        1.29 |        1.31 |        1.35 |        2.24 |        2.19 |        2.16 |        2.23
  Time (ns)                          |   733072100 |   733072100 |   733072100 |   733072100 |   733072100 |   733072100 |   733072100 |   733072100 |   733072100 |   733072100 |   733072100 |   733072100
  Idle time (ns)                     |        1402 |      347179 |      354830 |      362824 |      370418 |      780460 |      386026 |      394045 |    23721808 |    23792285 |    57871372 |    57911993
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.1% |        0.1% |        0.1% |        0.1% |        3.2% |        3.2% |        7.9% |        7.9%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   308580837 |   411449379 |   415002873 |   400051482 |   348303788 |   360494670 |   398354568 |   436412912 |   759930608 |   718721945 |   972551653 |  1026864002
  num incorrect                      |      239780 |      224579 |      225725 |      224924 |      225645 |      224125 |      211658 |      211263 |      210654 |      211455 |      156061 |      155660
  misprediction rate                 |       0.08% |       0.05% |       0.05% |       0.06% |       0.06% |       0.06% |       0.05% |       0.05% |       0.03% |       0.03% |       0.02% |       0.02%
  mpki                               |        0.07 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.05 |        0.04 |        0.04 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   262862082 |   261913309 |   261913118 |   261913118 |   261912971 |   261913118 |   256758272 |   256758272 |   256758272 |   256758272 |   177057362 |   177057361
    num misses                       |         321 |          33 |          33 |          33 |          33 |          33 |          33 |          33 |          33 |          33 |          33 |          33
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |  1382904535 |  1430141927 |  1431918474 |  1424444980 |  1398576324 |  1404667990 |  1398802771 |  1417831724 |  1579585076 |  1558981139 |  1314712192 |  1341868173
    num misses                       |    10281852 |    10277922 |     9755154 |    10494695 |    10407729 |    10742820 |     9202767 |     8943676 |     9105190 |    10094253 |     6199953 |     7969384
    miss rate                        |       0.74% |       0.72% |       0.68% |       0.74% |       0.74% |       0.76% |       0.66% |       0.63% |       0.58% |       0.65% |       0.47% |       0.59%
    mpki                             |        2.83 |        2.61 |        2.47 |        2.69 |        2.78 |        2.84 |        2.39 |        2.26 |        1.85 |        2.10 |        1.31 |        1.62
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    10282173 |    10277955 |     9755187 |    10494728 |    10407762 |    10742853 |     9202800 |     8943709 |     9105223 |    10094286 |     6199986 |     7969417
    num misses                       |      363946 |      370870 |      354791 |      369653 |      359964 |      378251 |      342571 |      365551 |      318642 |      352801 |      264185 |      260213
    miss rate                        |       3.54% |       3.61% |       3.64% |       3.52% |       3.46% |       3.52% |       3.72% |       4.09% |       3.50% |       3.50% |       4.26% |       3.27%
    mpki                             |        0.10 |        0.09 |        0.09 |        0.09 |        0.10 |        0.10 |        0.09 |        0.09 |        0.06 |        0.07 |        0.06 |        0.05
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   262862082 |   261913309 |   261913118 |   261913118 |   261912971 |   261913118 |   256758272 |   256758272 |   256758272 |   256758272 |   177057362 |   177057361
    num cache misses                 |      847329 |      559393 |      561011 |      585429 |      293301 |      314942 |      292397 |      320576 |      602666 |      570612 |      408420 |      411622
    miss rate                        |       0.32% |       0.21% |       0.21% |       0.22% |       0.11% |       0.12% |       0.11% |       0.12% |       0.23% |       0.22% |       0.23% |       0.23%
    mpki                             |        0.23 |        0.14 |        0.14 |        0.15 |        0.08 |        0.08 |        0.08 |        0.08 |        0.12 |        0.12 |        0.09 |        0.08
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |  1382904535 |  1430141927 |  1431918474 |  1424444980 |  1398576324 |  1404667990 |  1398802771 |  1417831724 |  1579585076 |  1558981139 |  1314712192 |  1341868173
    num cache misses                 |    78665064 |    78194978 |    78204460 |    78194386 |    78169760 |    78191721 |    76365122 |    76366489 |    76379564 |    76385585 |    53585233 |    53518019
    miss rate                        |       5.69% |       5.47% |       5.46% |       5.49% |       5.59% |       5.57% |       5.46% |       5.39% |       4.84% |       4.90% |       4.08% |       3.99%
    mpki                             |       21.64 |       19.85 |       19.80 |       20.02 |       20.85 |       20.65 |       19.84 |       19.27 |       15.48 |       15.88 |       11.29 |       10.90
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |            
