                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |    2097231 |    2055687 |    2025240 |    2037280 |    2025088 |    2024746 |    2036967 |    2036588 |    2024429 |    2035481 |    2035538 |    2023585 |    2023063 |    2035151 |    2022889 |    2033660
    miss rate                        |      2.91% |      3.10% |      2.80% |      3.07% |      2.82% |      2.82% |      3.07% |      3.06% |      2.81% |      3.07% |      3.07% |      2.81% |      2.82% |      3.07% |      2.82% |      3.08%
    mpki                             |      13.25 |      16.10 |      11.90 |      15.91 |      12.14 |      12.12 |      15.86 |      15.68 |      12.02 |      15.83 |      15.95 |      12.02 |      12.11 |      15.81 |      12.10 |      16.05
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2325182 |    2251274 |    2213162 |    2228815 |    2212914 |    2213403 |    2229929 |    2229092 |    2216480 |    2227218 |    2227769 |    2211340 |    2211630 |    2227759 |    2211164 |    2225892
    num cache misses                 |    1230279 |    1906285 |    1184682 |    1890447 |    1182826 |    1186932 |    1890772 |    1888532 |    1181822 |    1888547 |    1888370 |    1180533 |    1188101 |    1886254 |    1185647 |    1883242
    miss rate                        |     52.91% |     84.68% |     53.53% |     84.82% |     53.45% |     53.62% |     84.79% |     84.72% |     53.32% |     84.79% |     84.77% |     53.39% |     53.72% |     84.67% |     53.62% |     84.61%
    mpki                             |       7.77 |      14.93 |       6.96 |      14.77 |       7.09 |       7.10 |      14.72 |      14.54 |       7.02 |      14.68 |      14.79 |       7.01 |       7.11 |      14.65 |       7.09 |      14.87
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1448934 |    2093201 |    1370643 |    2072979 |    1368525 |    1373615 |    2074713 |    2072409 |    1372231 |    2071507 |    2071583 |    1366788 |    1374699 |    2070112 |    1371915 |    2066688
    num cache misses                 |    1087831 |    1024027 |    1016990 |    1009151 |    1019372 |    1028293 |    1000518 |    1022699 |    1105588 |     994666 |    1007746 |    1005746 |    1035914 |     999475 |    1014086 |    1024411
    miss rate                        |     75.08% |     48.92% |     74.20% |     48.68% |     74.49% |     74.86% |     48.22% |     49.35% |     80.57% |     48.02% |     48.65% |     73.58% |     75.36% |     48.28% |     73.92% |     49.57%
    mpki                             |       6.87 |       8.02 |       5.98 |       7.88 |       6.11 |       6.15 |       7.79 |       7.87 |       6.56 |       7.73 |       7.89 |       5.98 |       6.20 |       7.76 |       6.06 |       8.09
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |   11865240 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   11864024 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |    2625.79 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |    2642.08 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |    2564.54 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |    2580.83 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     25.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     25.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     735678 |     756403 |     735353 |     755002 |     734615 |     739624 |     744740 |     745486 |     732703 |     745659 |     757044 |     727235 |     749496 |     748239 |     733325 |     759465
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      32806 |       4011 |       3452 |       3474 |       4095 |       4337 |       4099 |      25499 |      73730 |       3486 |       3367 |       3820 |       3828 |       3141 |       3647 |      14547
