                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   20927605 |    3539423 |    3148846 |    3453695 |    3356117 |    3204489 |    3334412 |    3429065 |    3498016 |    3207951 |    3512672 |    3282574 |    3237851 |    2861174 |    2896727 |    3325425
  Cycles                             |   57449200 |   57449200 |   57449200 |   57449200 |   14362300 |   14362300 |   14362300 |   14362300 |   57449200 |   57449200 |   57449200 |   57449200 |   14362300 |   14362300 |   14362300 |   14362300
  IPC                                |       0.36 |       0.06 |       0.05 |       0.06 |       0.23 |       0.22 |       0.23 |       0.24 |       0.06 |       0.06 |       0.06 |       0.06 |       0.23 |       0.20 |       0.20 |       0.23
  Time (ns)                          |   14362300 |   14362300 |   14362300 |   14362300 |   14362300 |   14362300 |   14362300 |   14362300 |   14362300 |   14362300 |   14362300 |   14362300 |   14362300 |   14362300 |   14362300 |   14362300
  Idle time (ns)                     |       1340 |   12752785 |   12753397 |   12754166 |   12723335 |   12723946 |   12724581 |   12724753 |   12755168 |   12755301 |   12755506 |   12755898 |   12726259 |   12726618 |   12726866 |   12726775
  Idle time (%)                      |       0.0% |      88.8% |      88.8% |      88.8% |      88.6% |      88.6% |      88.6% |      88.6% |      88.8% |      88.8% |      88.8% |      88.8% |      88.6% |      88.6% |      88.6% |      88.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2268464 |    1122603 |     960490 |    1086823 |    1051832 |     990174 |    1043420 |    1084015 |    1104114 |     985431 |    1109479 |    1016651 |    1001836 |     840933 |     856621 |    1040021
  num incorrect                      |     160558 |       4432 |       9981 |       5682 |       5979 |       8000 |       6382 |       4827 |       5286 |       9143 |       5097 |       8222 |       8026 |      13687 |      13020 |       6694
  misprediction rate                 |      6.61% |      0.39% |      1.03% |      0.52% |      0.57% |      0.80% |      0.61% |      0.44% |      0.48% |      0.92% |      0.46% |      0.80% |      0.79% |      1.60% |      1.50% |      0.64%
  mpki                               |       7.67 |       1.25 |       3.17 |       1.65 |       1.78 |       2.50 |       1.91 |       1.41 |       1.51 |       2.85 |       1.45 |       2.50 |       2.48 |       4.78 |       4.49 |       2.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2768750 |      46139 |      78273 |      54261 |      57386 |      69635 |      58137 |      48347 |      51743 |      75997 |      50924 |      67739 |      68136 |     104290 |     103665 |      57585
    num misses                       |        169 |         26 |         26 |         26 |         28 |         26 |         26 |         26 |         28 |         28 |         26 |         26 |         28 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.06% |      0.03% |      0.05% |      0.05% |      0.04% |      0.04% |      0.05% |      0.05% |      0.04% |      0.05% |      0.04% |      0.04% |      0.02% |      0.03% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4890779 |     679004 |     639384 |     670781 |     656701 |     640925 |     654011 |     661216 |     676767 |     646289 |     677809 |     653600 |     646026 |     608714 |     614052 |     653092
    num misses                       |       2272 |        565 |        597 |        558 |        571 |        565 |        561 |        603 |        566 |        590 |        591 |        604 |        557 |        611 |        541 |        549
    miss rate                        |      0.05% |      0.08% |      0.09% |      0.08% |      0.09% |      0.09% |      0.09% |      0.09% |      0.08% |      0.09% |      0.09% |      0.09% |      0.09% |      0.10% |      0.09% |      0.08%
    mpki                             |       0.11 |       0.16 |       0.19 |       0.16 |       0.17 |       0.18 |       0.17 |       0.18 |       0.16 |       0.18 |       0.17 |       0.18 |       0.17 |       0.21 |       0.19 |       0.17
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2441 |        591 |        623 |        584 |        599 |        591 |        587 |        629 |        594 |        618 |        617 |        630 |        585 |        637 |        567 |        575
    num misses                       |        692 |        179 |        177 |        178 |        167 |        175 |        175 |        176 |        167 |        173 |        167 |        168 |        168 |        167 |        167 |        164
    miss rate                        |     28.35% |     30.29% |     28.41% |     30.48% |     27.88% |     29.61% |     29.81% |     27.98% |     28.11% |     27.99% |     27.07% |     26.67% |     28.72% |     26.22% |     29.45% |     28.52%
    mpki                             |       0.03 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.06 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2768750 |      46139 |      78273 |      54261 |      57386 |      69635 |      58137 |      48347 |      51743 |      75997 |      50924 |      67739 |      68136 |     104290 |     103665 |      57585
    num cache misses                 |       2712 |        171 |        170 |        170 |        176 |        171 |        169 |        169 |        175 |        176 |        169 |        169 |        177 |        170 |        169 |        171
    miss rate                        |      0.10% |      0.37% |      0.22% |      0.31% |      0.31% |      0.25% |      0.29% |      0.35% |      0.34% |      0.23% |      0.33% |      0.25% |      0.26% |      0.16% |      0.16% |      0.30%
    mpki                             |       0.13 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4890779 |     679004 |     639384 |     670781 |     656701 |     640925 |     654011 |     661216 |     676767 |     646289 |     677809 |     653600 |     646026 |     608714 |     614052 |     653092
    num cache misses                 |      42190 |      13921 |      14206 |      13975 |      14050 |      14165 |      14041 |      13772 |      14044 |      14171 |      13906 |      14100 |      14145 |      14239 |      14383 |      13894
    miss rate                        |      0.86% |      2.05% |      2.22% |      2.08% |      2.14% |      2.21% |      2.15% |      2.08% |      2.08% |      2.19% |      2.05% |      2.16% |      2.19% |      2.34% |      2.34% |      2.13%
    mpki                             |       2.02 |       3.93 |       4.51 |       4.05 |       4.19 |       4.42 |       4.21 |       4.02 |       4.01 |       4.42 |       3.96 |       4.30 |       4.37 |       4.98 |       4.97 |       4.18
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      47282 |      14176 |      14538 |      14241 |      14325 |      14468 |      14314 |      14028 |      14595 |      14783 |      14449 |      14685 |      14722 |      14897 |      15044 |      14453
    num cache misses                 |      32690 |      12940 |      13088 |      13031 |      13031 |      13086 |      13014 |      12901 |      13053 |      13109 |      12931 |      13060 |      13100 |      13182 |      13265 |      12977
    miss rate                        |     69.14% |     91.28% |     90.03% |     91.50% |     90.97% |     90.45% |     90.92% |     91.97% |     89.43% |     88.68% |     89.49% |     88.93% |     88.98% |     88.49% |     88.17% |     89.79%
    mpki                             |       1.56 |       3.66 |       4.16 |       3.77 |       3.88 |       4.08 |       3.90 |       3.76 |       3.73 |       4.09 |       3.68 |       3.98 |       4.05 |       4.61 |       4.58 |       3.90
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      35796 |      13032 |      13256 |      13136 |      13142 |      13225 |      13125 |      12991 |      13429 |      13545 |      13305 |      13476 |      13501 |      13670 |      13757 |      13365
    num cache misses                 |      26189 |       6781 |       6945 |       6792 |       6747 |       6788 |       6810 |       6683 |       7353 |       7421 |       7253 |       7320 |       7160 |       7313 |       7444 |       7167
    miss rate                        |     73.16% |     52.03% |     52.39% |     51.71% |     51.34% |     51.33% |     51.89% |     51.44% |     54.75% |     54.79% |     54.51% |     54.32% |     53.03% |     53.50% |     54.11% |     53.63%
    mpki                             |       1.25 |       1.92 |       2.21 |       1.97 |       2.01 |       2.12 |       2.04 |       1.95 |       2.10 |       2.31 |       2.06 |       2.23 |       2.21 |       2.56 |       2.57 |       2.16
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      14196 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      14134 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.39 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.37 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
