                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9696037 |    4407389 |   84090151 |   84314353 |   84061946 |  171984003 |  100014254 |   94889112 |   96603000 |  102420070 |  360336517 |  378957368 |  348071646 |  357878599 |    4580751
  Cycles                             |  243145760 |  320510320 |  320510320 |  320510320 |  243145760 |  243145760 |  320510320 |  243145760 |  243145760 |  320510320 |  243145760 |  320510320 |  243145760 |  320510320 |  320510320
  IPC                                |       0.04 |       0.01 |       0.26 |       0.26 |       0.35 |       0.71 |       0.31 |       0.39 |       0.40 |       0.32 |       1.48 |       1.18 |       1.43 |       1.12 |       0.01
  Time (ns)                          |  110520800 |  110520800 |  110520800 |  110520800 |  110520800 |  110520800 |  110520800 |  110520800 |  110520800 |  110520800 |  110520800 |  110520800 |  110520800 |  110520800 |  110520800
  Idle time (ns)                     |  106777505 |  108410026 |   60897310 |   60759072 |   60952830 |   11877279 |   95469517 |   93221915 |   92906344 |   94778478 |    8947172 |    7337329 |    9851529 |    7265793 |  108940846
  Idle time (%)                      |      96.6% |      98.1% |      55.1% |      55.0% |      55.2% |      10.7% |      86.4% |      84.3% |      84.1% |      85.8% |       8.1% |       6.6% |       8.9% |       6.6% |      98.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279253 |     175365 |    4227095 |    4237546 |    4224594 |    8658484 |     153170 |     144730 |     151130 |     156001 |   43401965 |   45170022 |   41451993 |   42715456 |     467447
  num incorrect                      |       7662 |        735 |        636 |        625 |        619 |       1467 |       2687 |       2614 |       2777 |       2718 |    1930718 |    2037948 |    1981470 |    2167024 |      11060
  misprediction rate                 |      0.60% |      0.42% |      0.02% |      0.01% |      0.01% |      0.02% |      1.72% |      1.77% |      1.80% |      1.71% |      4.26% |      4.32% |      4.56% |      4.83% |      2.31%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.36 |       5.38 |       5.69 |       6.06 |       2.41
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529845 |     429957 |    6352642 |    6367479 |    6347302 |   13010256 |    5629364 |    5339466 |    5441296 |    5763239 |   40834960 |   43061636 |   40013914 |   40944435 |     620291
    num misses                       |        114 |         36 |         33 |         32 |         34 |         34 |         39 |         38 |         39 |         39 |         40 |         47 |         40 |         40 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836231 |    3847930 |   56692373 |   56848745 |   56681281 |  115948402 |   23397449 |   22191283 |   22614083 |   23951736 |  176091039 |  186871297 |  169018921 |  171460498 |    2508070
    num misses                       |      13815 |       5331 |        599 |        586 |        584 |       1159 |       2191 |       2108 |       2182 |       2243 |      19234 |      21161 |      30973 |      19186 |       4157
    miss rate                        |      0.29% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.17%
    mpki                             |       1.42 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.05 |       0.06 |       0.09 |       0.05 |       0.91
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      13929 |       5367 |        632 |        618 |        618 |       1193 |       2230 |       2146 |       2221 |       2282 |      19274 |      21208 |      31013 |      19226 |       4198
    num misses                       |       5847 |       5325 |        626 |        616 |        616 |       1191 |       1760 |       1734 |       1734 |       1814 |       1714 |       2133 |       1826 |       1785 |       2329
    miss rate                        |     41.98% |     99.22% |     99.05% |     99.68% |     99.68% |     99.83% |     78.92% |     80.80% |     78.07% |     79.49% |      8.89% |     10.06% |      5.89% |      9.28% |     55.48%
    mpki                             |       0.60 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.00 |       0.01 |       0.01 |       0.00 |       0.51
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529845 |     429957 |    6352642 |    6367479 |    6347302 |   13010256 |    5629364 |    5339466 |    5441296 |    5763239 |   40834960 |   43061636 |   40013914 |   40944435 |     620291
    num cache misses                 |       2021 |        466 |        402 |        400 |        648 |       1067 |        987 |       1782 |       1889 |        907 |      24373 |      21453 |      26424 |      20572 |        412
    miss rate                        |      0.13% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.03% |      0.03% |      0.02% |      0.06% |      0.05% |      0.07% |      0.05% |      0.07%
    mpki                             |       0.21 |       0.11 |       0.00 |       0.00 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.07 |       0.06 |       0.08 |       0.06 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836231 |    3847930 |   56692373 |   56848745 |   56681281 |  115948402 |   23397449 |   22191283 |   22614083 |   23951736 |  176091039 |  186871297 |  169018921 |  171460498 |    2508070
