                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   45124225 |    6561845 |    5500905 |    6306708 |    6519403 |    6440718
  Cycles                             |   34082000 |   34082000 |   34082000 |   34082000 |   34082000 |   34082000
  IPC                                |       1.32 |       0.19 |       0.16 |       0.19 |       0.19 |       0.19
  Time (ns)                          |    8520500 |    8520500 |    8520500 |    8520500 |    8520500 |    8520500
  Idle time (ns)                     |      55428 |    6989581 |    6948379 |    6947380 |    6993412 |    7015984
  Idle time (%)                      |       0.7% |      82.0% |      81.5% |      81.5% |      82.1% |      82.3%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    5027067 |    1813677 |    1338795 |    1670016 |    1804604 |    1793103
  num incorrect                      |     350381 |      36035 |      57460 |      45777 |      35666 |      33206
  misprediction rate                 |      6.52% |      1.95% |      4.12% |      2.67% |      1.94% |      1.82%
  mpki                               |       7.76 |       5.49 |      10.45 |       7.26 |       5.47 |       5.16
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    5335990 |     331234 |     451890 |     392510 |     327083 |     313672
    num misses                       |        170 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   10433291 |    1626818 |    1544659 |    1628483 |    1619048 |    1590996
    num misses                       |      13548 |      11927 |      12069 |      12083 |      11951 |      12034
    miss rate                        |      0.13% |      0.73% |      0.78% |      0.74% |      0.74% |      0.76%
    mpki                             |       0.30 |       1.82 |       2.19 |       1.92 |       1.83 |       1.87
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      13718 |      11954 |      12096 |      12110 |      11978 |      12061
    num misses                       |        904 |        338 |        345 |        341 |        337 |        335
    miss rate                        |      6.59% |      2.83% |      2.85% |      2.82% |      2.81% |      2.78%
    mpki                             |       0.02 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    5335990 |     331234 |     451890 |     392510 |     327083 |     313672
    num cache misses                 |       3004 |        174 |        172 |        173 |        173 |        173
    miss rate                        |      0.06% |      0.05% |      0.04% |      0.04% |      0.05% |      0.06%
    mpki                             |       0.07 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   10433291 |    1626818 |    1544659 |    1628483 |    1619048 |    1590996
    num cache misses                 |      99923 |      67431 |      68788 |      68300 |      67639 |      67504
    miss rate                        |      0.96% |      4.14% |      4.45% |      4.19% |      4.18% |      4.24%
    mpki                             |       2.21 |      10.28 |      12.50 |      10.83 |      10.38 |      10.48
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     105841 |      68273 |      69846 |      70573 |      69801 |      69628
    num cache misses                 |      83371 |      59418 |      59966 |      60089 |      59602 |      59545
    miss rate                        |     78.77% |     87.03% |     85.85% |     85.14% |     85.39% |     85.52%
    mpki                             |       1.85 |       9.06 |      10.90 |       9.53 |       9.14 |       9.25
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      86611 |      60129 |      60900 |      62241 |      61644 |      61506
    num cache misses                 |      59457 |      35376 |      35812 |      37750 |      37494 |      37169
    miss rate                        |     68.65% |     58.83% |     58.80% |     60.65% |     60.82% |     60.43%
    mpki                             |       1.32 |       5.39 |       6.51 |       5.99 |       5.75 |       5.77
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      19761 |          0 |          0 |      19693 |          0 |          0
  average dram access latency (ns)   |      61.43 |        inf |        inf |      61.42 |        inf |        inf
  average dram queueing delay        |       0.18 |       0.00 |       0.00 |       0.17 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10877 |        656 |        678 |        479 |        521 |        484
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       9649 |       9386 |       9503 |      11252 |      11002 |      11005
