                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9696873 |    4394833 |   84090216 |   84062910 |   84314392 |  171984130 |  100650232 |   99850102 |   92636304 |  100791757 |  360312102 |  358457272 |  364588644 |  361909838 |    4583867
  Cycles                             |  241604440 |  241604440 |  318478580 |  318478580 |  318478580 |  241604440 |  318478580 |  241604440 |  241604440 |  318478580 |  318478580 |  318478580 |  318478580 |  241604440 |  241604440
  IPC                                |       0.04 |       0.02 |       0.26 |       0.26 |       0.26 |       0.71 |       0.32 |       0.41 |       0.38 |       0.32 |       1.13 |       1.13 |       1.14 |       1.50 |       0.02
  Time (ns)                          |  109820200 |  109820200 |  109820200 |  109820200 |  109820200 |  109820200 |  109820200 |  109820200 |  109820200 |  109820200 |  109820200 |  109820200 |  109820200 |  109820200 |  109820200
  Idle time (ns)                     |  106103077 |  107470476 |   60207378 |   60319510 |   60067700 |   11133859 |   94690811 |   91952427 |   92938432 |   94352085 |    8279164 |    7524600 |    9085740 |    8734133 |  108151417
  Idle time (%)                      |      96.6% |      97.9% |      54.8% |      54.9% |      54.7% |      10.1% |      86.2% |      83.7% |      84.6% |      85.9% |       7.5% |       6.9% |       8.3% |       8.0% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279428 |     172932 |    4227093 |    4224764 |    4237546 |    8658532 |     156398 |     148793 |     145046 |     154982 |   43099125 |   43044939 |   43411616 |   43178758 |     467459
  num incorrect                      |       7665 |        724 |        639 |        630 |        628 |       1468 |       2758 |       2696 |       2655 |       2811 |    2096705 |    2105175 |    1997097 |    1922269 |       8000
  misprediction rate                 |      0.60% |      0.42% |      0.02% |      0.01% |      0.01% |      0.02% |      1.73% |      1.78% |      1.80% |      1.78% |      4.64% |      4.66% |      4.40% |      4.26% |      1.68%
  mpki                               |       0.79 |       0.16 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.82 |       5.87 |       5.48 |       5.31 |       1.75
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529944 |     430462 |    6352664 |    6347430 |    6367486 |   13010235 |    5668136 |    5613998 |    5218426 |    5673050 |   41223838 |   40832667 |   41538903 |   41263187 |     619621
    num misses                       |        116 |         35 |         33 |         32 |         34 |         32 |         38 |         39 |         39 |         39 |         47 |         40 |         40 |         40 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836650 |    3838145 |   56692400 |   56681747 |   56848764 |  115948421 |   23557322 |   23331835 |   21688006 |   23578189 |  174428627 |  171551574 |  178137123 |  179336581 |    2512410
    num misses                       |      14408 |       5346 |        605 |        601 |        589 |       1163 |       2276 |       2137 |       2172 |       2214 |      25848 |      27016 |      21066 |      21003 |       8815
    miss rate                        |      0.30% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.35%
    mpki                             |       1.49 |       1.22 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.07 |       0.08 |       0.06 |       0.06 |       1.92
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14524 |       5381 |        638 |        633 |        623 |       1195 |       2314 |       2176 |       2211 |       2253 |      25895 |      27056 |      21106 |      21043 |       8856
    num misses                       |       6341 |       5327 |        626 |        622 |        618 |       1189 |       1808 |       1742 |       1706 |       1789 |       2063 |       1861 |       1958 |       1968 |       2349
    miss rate                        |     43.66% |     99.00% |     98.12% |     98.26% |     99.20% |     99.50% |     78.13% |     80.06% |     77.16% |     79.41% |      7.97% |      6.88% |      9.28% |      9.35% |     26.52%
    mpki                             |       0.65 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.51
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529944 |     430462 |    6352664 |    6347430 |    6367486 |   13010235 |    5668136 |    5613998 |    5218426 |    5673050 |   41223838 |   40832667 |   41538903 |   41263187 |     619621
    num cache misses                 |       2008 |        558 |        407 |        396 |        402 |       1052 |       1150 |       2118 |       2015 |       1137 |      17621 |      17396 |      16441 |      23515 |        598
    miss rate                        |      0.13% |      0.13% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.04% |      0.04% |      0.02% |      0.04% |      0.04% |      0.04% |      0.06% |      0.10%
    mpki                             |       0.21 |       0.13 |       0.00 |       0.00 |       0.00 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.05 |       0.05 |       0.05 |       0.06 |       0.13
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836650 |    3838145 |   56692400 |   56681747 |   56848764 |  115948421 |   23557322 |   23331835 |   21688006 |   23578189 |  174428627 |  171551574 |  178137123 |  179336581 |    2512410
    num cache misses                 |     173584 |     334391 |      36427 |      36158 |      36302 |      74945 |      48833 |      48278 |      45220 |      48695 |    2451714 |    2388267 |    2542808 |    3356806 |      24646
    miss rate                        |      3.59% |      8.71% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.41% |      1.39% |      1.43% |      1.87% |      0.98%
    mpki                             |      17.90 |      76.09 |       0.43 |       0.43 |       0.43 |       0.44 |       0.49 |       0.48 |       0.49 |       0.48 |       6.80 |       6.66 |       6.97 |       9.28 |       5.38
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     239763 |     372786 |      37153 |      36893 |      37036 |      76894 |      50803 |      51121 |      48796 |      51449 |    2470937 |    2407213 |    2560618 |    3381936 |      28776
    num cache misses                 |     162450 |     333607 |      36464 |      36235 |      36370 |      74939 |      49347 |      49768 |      46528 |      49336 |     102218 |      93634 |     100292 |     110466 |      17179
    miss rate                        |     67.75% |     89.49% |     98.15% |     98.22% |     98.20% |     97.46% |     97.13% |     97.35% |     95.35% |     95.89% |      4.14% |      3.89% |      3.92% |      3.27% |     59.70%
    mpki                             |      16.75 |      75.91 |       0.43 |       0.43 |       0.43 |       0.44 |       0.49 |       0.50 |       0.50 |       0.49 |       0.28 |       0.26 |       0.28 |       0.31 |       3.75
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     226626 |     371445 |      36783 |      36574 |      36702 |      75849 |      50167 |      50493 |      48090 |      50953 |     103892 |      95295 |     101676 |     112186 |      20717
    num cache misses                 |     154594 |     332923 |      35112 |      32666 |      34984 |      15988 |       3987 |       3462 |      44203 |      48080 |      74231 |      66154 |      69284 |      71184 |       6318
    miss rate                        |     68.22% |     89.63% |     95.46% |     89.31% |     95.32% |     21.08% |      7.95% |      6.86% |     91.92% |     94.36% |     71.45% |     69.42% |     68.14% |     63.45% |     30.50%
    mpki                             |      15.94 |      75.75 |       0.42 |       0.39 |       0.41 |       0.09 |       0.04 |       0.03 |       0.48 |       0.48 |       0.21 |       0.18 |       0.19 |       0.20 |       1.38
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     538202 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     538171 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.28 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.27 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      74540 |     203670 |      33092 |      30860 |      33082 |      11842 |       2026 |       1784 |       1412 |       1507 |        781 |        776 |        709 |        464 |       4778
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3334 |          5 |        423 |        419 |        419 |       1330 |        338 |        335 |      40289 |      43809 |      24985 |      21270 |      19666 |      22986 |        162
