                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9695597 |    4407364 |   84090241 |   84061920 |  171984102 |   84314362 |  100648924 |   93877973 |  102239517 |   97158624 |  353357305 |  367116899 |  346024508 |  378737890 |    4566383
  Cycles                             |  243241240 |  320636180 |  320636180 |  243241240 |  243241240 |  320636180 |  320636180 |  243241240 |  320636180 |  320636180 |  243241240 |  320636180 |  243241240 |  320636180 |  243241240
  IPC                                |       0.04 |       0.01 |       0.26 |       0.35 |       0.71 |       0.26 |       0.31 |       0.39 |       0.32 |       0.30 |       1.45 |       1.14 |       1.42 |       1.18 |       0.02
  Time (ns)                          |  110564200 |  110564200 |  110564200 |  110564200 |  110564200 |  110564200 |  110564200 |  110564200 |  110564200 |  110564200 |  110564200 |  110564200 |  110564200 |  110564200 |  110564200
  Idle time (ns)                     |  106823582 |  108470285 |   60940161 |   61005717 |   11597198 |   60803917 |   95455503 |   93446788 |   94864763 |   95620331 |    7116456 |    8981863 |    8808450 |    9056948 |  108880102
  Idle time (%)                      |      96.6% |      98.1% |      55.1% |      55.2% |      10.5% |      55.0% |      86.3% |      84.5% |      85.8% |      86.5% |       6.4% |       8.1% |       8.0% |       8.2% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279175 |     175369 |    4227107 |    4224594 |    8658497 |    4237545 |     156224 |     143846 |     153232 |     151434 |   42254244 |   43655816 |   41477418 |   45373975 |     466060
  num incorrect                      |       7653 |        730 |        644 |        621 |       1470 |        627 |       2726 |       2633 |       2644 |       2798 |    2059480 |    2023201 |    2043229 |    1965952 |       8229
  misprediction rate                 |      0.59% |      0.41% |      0.02% |      0.01% |      0.02% |      0.01% |      1.72% |      1.80% |      1.70% |      1.81% |      4.65% |      4.43% |      4.69% |      4.15% |      1.74%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.83 |       5.51 |       5.90 |       5.19 |       1.80
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529794 |     429954 |    6352656 |    6347297 |   13010276 |    6367477 |    5667955 |    5283489 |    5750068 |    5471835 |   40303476 |   42036787 |   39585459 |   42929048 |     618285
    num misses                       |        113 |         35 |         33 |         32 |         32 |         32 |         39 |         39 |         39 |         39 |         46 |         47 |         40 |         40 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836028 |    3847914 |   56692411 |   56681262 |  115948446 |   56848755 |   23556774 |   21958807 |   23896310 |   22742322 |  171109797 |  179005333 |  166204219 |  187126880 |    2501509
    num misses                       |      13678 |       5327 |        603 |        587 |       1178 |        587 |       2235 |       2102 |       2151 |       2207 |      20311 |      20694 |      21627 |      21365 |       3467
    miss rate                        |      0.28% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.14%
    mpki                             |       1.41 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.06 |       0.06 |       0.06 |       0.06 |       0.76
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      13791 |       5362 |        636 |        619 |       1210 |        619 |       2274 |       2141 |       2190 |       2246 |      20357 |      20741 |      21667 |      21405 |       3508
    num misses                       |       5804 |       5324 |        625 |        613 |       1189 |        615 |       1801 |       1716 |       1760 |       1764 |       1959 |       1940 |       1812 |       2024 |       2199
    miss rate                        |     42.09% |     99.29% |     98.27% |     99.03% |     98.26% |     99.35% |     79.20% |     80.15% |     80.37% |     78.54% |      9.62% |      9.35% |      8.36% |      9.46% |     62.69%
    mpki                             |       0.60 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.48
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529794 |     429954 |    6352656 |    6347297 |   13010276 |    6367477 |    5667955 |    5283489 |    5750068 |    5471835 |   40303476 |   42036787 |   39585459 |   42929048 |     618285
    num cache misses                 |       1996 |        463 |        409 |        644 |       1062 |        398 |       1093 |       1847 |       1213 |       1181 |      22767 |      17210 |      22811 |      15772 |        513
    miss rate                        |      0.13% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.03% |      0.02% |      0.02% |      0.06% |      0.04% |      0.06% |      0.04% |      0.08%
    mpki                             |       0.21 |       0.11 |       0.00 |       0.01 |       0.01 |       0.00 |       0.01 |       0.02 |       0.01 |       0.01 |       0.06 |       0.05 |       0.07 |       0.04 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836028 |    3847914 |   56692411 |   56681262 |  115948446 |   56848755 |   23556774 |   21958807 |   23896310 |   22742322 |  171109797 |  179005333 |  166204219 |  187126880 |    2501509
    num cache misses                 |     173554 |     334388 |      36411 |      36416 |      75006 |      36294 |      48797 |      45553 |      49112 |      47109 |    3170633 |    2516301 |    3030826 |    2773018 |      26257
    miss rate                        |      3.59% |      8.69% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.85% |      1.41% |      1.82% |      1.48% |      1.05%
    mpki                             |      17.90 |      75.87 |       0.43 |       0.43 |       0.44 |       0.43 |       0.48 |       0.49 |       0.48 |       0.48 |       8.97 |       6.85 |       8.76 |       7.32 |       5.75
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     240790 |     377828 |      37167 |      37402 |      76971 |      37019 |      50727 |      48848 |      51871 |      49879 |    3195515 |    2535422 |    3055384 |    2790802 |      35024
    num cache misses                 |     162401 |     333509 |      36447 |      36601 |      75025 |      36355 |      49313 |      46856 |      49726 |      47661 |     108312 |     101951 |     103700 |     108866 |      18028
    miss rate                        |     67.45% |     88.27% |     98.06% |     97.86% |     97.47% |     98.21% |     97.21% |     95.92% |     95.86% |     95.55% |      3.39% |      4.02% |      3.39% |      3.90% |     51.47%
    mpki                             |      16.75 |      75.67 |       0.43 |       0.44 |       0.44 |       0.43 |       0.49 |       0.50 |       0.49 |       0.49 |       0.31 |       0.28 |       0.30 |       0.29 |       3.95
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     227645 |     376487 |      36794 |      36943 |      75941 |      36682 |      50150 |      48305 |      51272 |      49252 |     110507 |     103942 |     105502 |     110936 |      26282
    num cache misses                 |     156317 |     332925 |      35150 |      32551 |      19537 |      34977 |       4119 |      44422 |      48539 |      46095 |      61695 |      63992 |      46795 |      68310 |      16653
    miss rate                        |     68.67% |     88.43% |     95.53% |     88.11% |     25.73% |     95.35% |      8.21% |     91.96% |     94.67% |     93.59% |     55.83% |     61.57% |     44.35% |     61.58% |     63.36%
    mpki                             |      16.12 |      75.54 |       0.42 |       0.39 |       0.11 |       0.41 |       0.04 |       0.47 |       0.47 |       0.47 |       0.17 |       0.17 |       0.14 |       0.18 |       3.65
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     358983 |          0 |          0 |          0 |          0 |          0 |          0 |     359063 |          0 |          0 |          0 |          0 |          0 |          0 |     358976
  average dram access latency (ns)   |      61.32 |        inf |        inf |        inf |        inf |        inf |        inf |      61.32 |        inf |        inf |        inf |        inf |        inf |        inf |      61.27
