                                     | Core 0     | Core 1    
  Instructions                       |   12318556 |    3960428
  Cycles                             |   10615200 |   10615200
  IPC                                |       1.16 |       0.37
  Time (ns)                          |    2653800 |    2653800
  Idle time (ns)                     |       1404 |    1786810
  Idle time (%)                      |       0.1% |      67.3%
Branch predictor stats               |            |           
  num correct                        |    1551036 |    1012277
  num incorrect                      |      96562 |      31971
  misprediction rate                 |      5.86% |      3.06%
  mpki                               |       7.84 |       8.07
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1813759 |     257537
    num misses                       |        175 |         28
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    3207706 |    1083419
    num misses                       |       1920 |        194
    miss rate                        |      0.06% |      0.02%
    mpki                             |       0.16 |       0.05
  L2 TLB                             |            |           
    num accesses                     |       2095 |        222
    num misses                       |        589 |        155
    miss rate                        |     28.11% |     69.82%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1813759 |     257537
    num cache misses                 |       2735 |        182
    miss rate                        |      0.15% |      0.07%
    mpki                             |       0.22 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    3207706 |    1083419
    num cache misses                 |      57978 |      35007
    miss rate                        |      1.81% |      3.23%
    mpki                             |       4.71 |       8.84
  Cache L2                           |            |           
    num cache accesses               |      63292 |      36774
    num cache misses                 |      43703 |      28244
    miss rate                        |     69.05% |     76.80%
    mpki                             |       3.55 |       7.13
  Cache L3                           |            |           
    num cache accesses               |      46386 |      29843
    num cache misses                 |      43060 |      28244
    miss rate                        |     92.83% |     94.64%
    mpki                             |       3.50 |       7.13
DRAM summary                         |            |           
  num dram accesses                  |      10287 |      10241
  average dram access latency (ns)   |      61.40 |      61.38
  average dram queueing delay        |       0.15 |       0.13
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10177 |         17
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |        621 |       2095
