                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9696565 |    4394874 |   84315455 |   84089126 |   84061888 |  171984060 |  102101770 |  102579956 |   93945161 |   95301829 |  368208617 |  348413341 |  365052812 |  363625964 |    4555277
  Cycles                             |  245215080 |  245215080 |  323238060 |  245215080 |  323238060 |  245215080 |  323238060 |  323238060 |  245215080 |  323238060 |  323238060 |  245215080 |  323238060 |  245215080 |  245215080
  IPC                                |       0.04 |       0.02 |       0.26 |       0.34 |       0.26 |       0.70 |       0.32 |       0.32 |       0.38 |       0.29 |       1.14 |       1.42 |       1.13 |       1.48 |       0.02
  Time (ns)                          |  111461400 |  111461400 |  111461400 |  111461400 |  111461400 |  111461400 |  111461400 |  111461400 |  111461400 |  111461400 |  111461400 |  111461400 |  111461400 |  111461400 |  111461400
  Idle time (ns)                     |  107744104 |  109111146 |   61708543 |   61783048 |   61968244 |   12514081 |   96088349 |   96076003 |   94354656 |   96832604 |    9293192 |   10124142 |    9809015 |    7350041 |  109816125
  Idle time (%)                      |      96.7% |      97.9% |      55.4% |      55.4% |      55.6% |      11.2% |      86.2% |      86.2% |      84.7% |      86.9% |       8.3% |       9.1% |       8.8% |       6.6% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279345 |     172930 |    4237720 |    4226909 |    4224591 |    8658487 |     154731 |     155570 |     146666 |     148384 |   44171271 |   41884176 |   43773279 |   42924470 |     464862
  num incorrect                      |       7687 |        729 |        633 |        639 |        624 |       1473 |       2764 |       2670 |       2752 |       2701 |    2056832 |    1990411 |    2075231 |    1988173 |       8083
  misprediction rate                 |      0.60% |      0.42% |      0.01% |      0.02% |      0.01% |      0.02% |      1.75% |      1.69% |      1.84% |      1.79% |      4.45% |      4.54% |      4.53% |      4.43% |      1.71%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.59 |       5.71 |       5.68 |       5.47 |       1.77
