                                     | Core 0     | Core 1    
  Instructions                       |  805671122 |  807348975
  Cycles                             |  271317910 |  271317910
  IPC                                |       2.97 |       2.98
  Time (ns)                          |   93557900 |   93557900
  Idle time (ns)                     |       1415 |     676850
  Idle time (%)                      |       0.0% |       0.7%
Branch predictor stats               |            |           
  num correct                        |   42604728 |   43231812
  num incorrect                      |     992268 |     977504
  misprediction rate                 |      2.28% |      2.21%
  mpki                               |       1.23 |       1.21
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   69020925 |   68883038
    num misses                       |        323 |         28
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  258762241 |  258700368
    num misses                       |     181162 |     179913
    miss rate                        |      0.07% |      0.07%
    mpki                             |       0.22 |       0.22
  L2 TLB                             |            |           
    num accesses                     |     181485 |     179941
    num misses                       |      52048 |      50835
    miss rate                        |     28.68% |     28.25%
    mpki                             |       0.06 |       0.06
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   69020925 |   68883038
    num cache misses                 |      16859 |       6903
    miss rate                        |      0.02% |      0.01%
    mpki                             |       0.02 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |  258762241 |  258700368
    num cache misses                 |   24519572 |   24511191
    miss rate                        |      9.48% |      9.47%
    mpki                             |      30.43 |      30.36
  Cache L2                           |            |           
    num cache accesses               |   24914497 |   24893169
    num cache misses                 |    3103657 |    3085749
    miss rate                        |     12.46% |     12.40%
    mpki                             |       3.85 |       3.82
  Cache L3                           |            |           
    num cache accesses               |    3678142 |    3656974
    num cache misses                 |    1551647 |    1537393
    miss rate                        |     42.19% |     42.04%
    mpki                             |       1.93 |       1.90
DRAM summary                         |            |           
  num dram accesses                  |    5576688 |          0
  average dram access latency (ns)   |    1529.25 |        inf
  average dram queueing delay        |    1468.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |     828661 |     824054
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
