390397595,377873216,230633572,79964372,116010356,61260492,134971568,101970208,0
213338747,183141964,143586972,88747120,92865000,93387548,99368992,0,101970208
152669472,127442784,107445736,99719032,89300648,110771928,0,99368992,134971568
301693120,275160004,187014924,75006816,102495544,0,110771928,93387548,61260492
166914736,141995020,113010336,90855648,0,102495544,89300648,92865000,116010356
227710635,197601992,149351868,0,90855648,75006816,99719032,88747120,79964372
155281185,139418444,0,149351868,113010336,187014924,107445736,143586972,230633572
165988385,0,139418444,197601992,141995020,275160004,127442784,183141964,377873216
0,165988385,155281185,227710635,166914736,301693120,152669472,213338747,390397595

