300653,40112,718,13,780,549,13444,556,11,530,552,543,2459,12,653,557,10,2923,2653,2646,3891,9009,10230,13460,11068,4440,4103,4284,2961,3324,3340,3999,524807,445328,291643,388759,32199,23626,33340,31979,41689,29828,23377,24602,33918,50577,36531,0
16764,29024,2700,1,104,591,109,116,135,104,127,544,1149,0,2247,1532,0,147,24,0,0,30,12,36,2838,66,0,0,0,5444,1715,5252,550,696,462,582,523,545,606,707,804,650,571,484,5342,4590,0,36531
18621,30253,2634,1,171,714,178,141,207,121,111,655,1821,0,2685,1477,0,264,27,0,0,27,27,12,2391,39,0,0,27,1628,7122,5407,8590,2321,1474,1492,1196,1241,975,2299,2718,1698,1280,1442,6853,0,4590,50577
16802,29504,2133,1,122,572,146,136,487,142,111,659,1313,0,2108,1581,0,312,24,0,0,36,30,49,2617,59,24,24,24,5774,3612,3510,1902,2411,1874,1900,1482,1458,1306,1684,2015,1711,1253,1613,0,6853,5342,33918
11307,20594,1094,1,61,197,79,67,1,76,993,1309,836,0,290,61,0,123,33,0,24,12,15,0,1353,3500,1847,2246,1125,356,40,384,372,406,286,309,427,283,287,572,1848,1605,1575,0,1613,1442,484,24602
10528,21816,859,1,84,382,33,65,15,43,858,1143,1030,0,409,72,0,75,24,0,0,6,30,18,1091,1789,2317,2131,1935,359,150,147,285,422,360,370,324,234,195,472,1443,709,0,1575,1253,1280,571,23377
12226,21136,1110,1,47,328,48,43,66,35,724,1584,1206,0,299,59,0,96,0,0,0,3,9,9,1317,274,3179,3874,2760,198,486,104,1693,3318,2332,2355,446,323,260,457,2195,0,709,1605,1711,1698,650,29828
15448,25774,1105,1,93,411,53,45,207,81,1714,1330,1204,0,329,50,0,75,0,0,0,15,27,24,1698,4227,3582,3006,1168,598,148,101,546,557,428,413,635,385,360,1236,0,2195,1443,1848,2015,2718,804,41689
14223,24858,1032,1,42,275,84,1159,1,1379,70,294,809,0,425,62,0,174,0,0,0,3948,1725,3488,4714,56,24,0,24,0,48,150,12283,958,614,609,2400,2239,3266,0,1236,457,472,572,1684,2299,707,31979
11349,20909,1380,1,86,309,117,1037,1,1021,33,321,457,0,256,28,0,120,0,0,0,1450,4184,2105,3681,24,0,0,24,24,72,72,286,366,252,297,1575,1035,0,3266,360,260,195,287,1306,975,606,33340
12187,21622,1536,1,105,402,57,1049,1,1191,77,355,980,0,447,78,0,120,24,0,0,3039,3526,1745,5331,26,0,0,24,96,0,168,378,365,197,317,2299,0,1035,2239,385,323,234,283,1458,1241,545,23626
12260,21682,1420,1,65,255,218,1260,1,805,51,327,1107,0,360,75,0,75,0,0,24,2313,2428,3095,3868,26,0,0,24,24,27,96,290,524,403,401,0,2299,1575,2400,635,446,324,427,1482,1196,523,32199
17493,30066,2493,1,1302,960,77,92,138,48,54,348,907,0,577,76,0,3202,2697,4099,2219,23,13,11,1588,61,24,0,24,3,0,123,2574,3786,2883,0,401,317,297,609,413,2355,370,309,1900,1492,582,388759
