58011079,2529252,2947208,1937600,2050552,2223496,1941456,1937328,1942104,3736264,1975768,1942492,3140844,0
57331619,3558012,3404952,2516592,2766792,2623756,2661828,2341224,2321428,4257056,3177820,3145576,0,3140844
57477117,2532252,2949632,1939516,2013528,2221904,1942536,1939372,1942396,3671104,1982300,0,3145576,1942492
54005339,2578368,2993924,1976676,2009008,2257936,1977452,1976320,1977920,3695348,0,1982300,3177820,1975768
45597351,4319740,4927616,3652292,3658608,3994736,3674828,3650004,3652424,0,3695348,3671104,4257056,3736264
47382147,2532696,2950156,1940200,1975648,2220816,1942324,1941064,0,3652424,1977920,1942396,2321428,1942104
46179551,2530548,2948796,1938332,1976628,2219028,1939804,0,1941064,3650004,1976320,1939372,2341224,1937328
50992863,2532308,2949148,1939576,2008328,2222396,0,1939804,1942324,3674828,1977452,1942536,2661828,1941456
47153342,2895356,3294800,2219512,2560864,0,2222396,2219028,2220816,3994736,2257936,2221904,2623756,2223496
45066503,2572436,2986200,1972840,0,2560864,2008328,1976628,1975648,3658608,2009008,2013528,2766792,2050552
46931955,2530220,2949020,0,1972840,2219512,1939576,1938332,1940200,3652292,1976676,1939516,2516592,1937600
47587428,3857736,0,2949020,2986200,3294800,2949148,2948796,2950156,4927616,2993924,2949632,3404952,2947208
48986412,0,3857736,2530220,2572436,2895356,2532308,2530548,2532696,4319740,2578368,2532252,3558012,2529252
0,48986412,47587428,46931955,45066503,47153342,50992863,46179551,47382147,45597351,54005339,57477117,57331619,58011079

