1931745,316224,4536,4540,23671,4328,91543,25440,58649,21136,24679,332613,1069077,3508496,5417412,2101341,14767440,0
565187,2656928,5480,1132,13684,1576,149620,47356,1896,8,0,523964,34228,99652,286972,13116,0,14767440
140378,658824,16404,6292,26932,8992,7460,66568,39816,24204,23904,14476,37108,90288,29268,0,13116,2101341
135326,675753,13332,8000,29240,2952,7680,81276,23684,24028,17856,13404,36672,91040,0,29268,286972,5417412
270768,1348085,25876,13940,53205,16428,17196,120544,83436,63560,39204,38348,94236,0,91040,90288,99652,3508496
143422,655578,15572,8956,19520,11488,7692,56004,53592,7348,38404,14144,0,94236,36672,37108,34228,1069077
328894,2792899,2304,84336,6952,1184,538261,30772,25416,6408,11224,0,14144,38348,13404,14476,523964,332613
87507,628656,17780,23632,51776,28212,0,22684,37412,22588,0,11224,38404,39204,17856,23904,0,24679
85099,614025,17548,22885,50636,23209,4,16144,33408,0,22588,6408,7348,63560,24028,24204,8,21136
134045,1000741,42476,35964,120628,26928,1128,39664,0,33408,37412,25416,53592,83436,23684,39816,1896,58649
889289,592900,26557,21776,49352,20356,27920,0,39664,16144,22684,30772,56004,120544,81276,66568,47356,25440
123830,5294990,1724,3452,6152,1260,0,27920,1128,4,0,538261,7692,17196,7680,7460,149620,91543
40007,1074066,8304,1088,10352,0,1260,20356,26928,23209,28212,1184,11488,16428,2952,8992,1576,4328
58615,2176566,12404,6268,0,10352,6152,49352,120628,50636,51776,6952,19520,53205,29240,26932,13684,23671
35374,1055155,2352,0,6268,1088,3452,21776,35964,22885,23632,84336,8956,13940,8000,6292,1132,4540
40373,1060197,0,2352,12404,8304,1724,26557,42476,17548,17780,2304,15572,25876,13332,16404,5480,4536
87374,0,1060197,1055155,2176566,1074066,5294990,592900,1000741,614025,628656,2792899,655578,1348085,675753,658824,2656928,316224
0,87374,40373,35374,58615,40007,123830,889289,134045,85099,87507,328894,143422,270768,135326,140378,565187,1931745

