1875040,324080,7668,4412,5180,4240,4428,4968,4416,16197,10122,72971,17828,20189,17628,19185,16928,16336,44061,20799,168027,77946,5738377,4335872,1868285,1218834,295485,549554,398040,334184,519155,404348,0
130543,651055,2408,520,488,204,452,9708,224,5440,34996,1796,0,0,144,0,3536,0,0,0,71648,66160,11316,8664,8060,8112,31840,4300,6872,5396,48776,0,404348
145078,649307,2440,264,616,448,832,11164,312,5708,40608,1328,0,32,144,0,2664,0,0,120,99132,64880,11512,11844,8156,7136,37132,5264,7368,7272,0,48776,519155
114675,514912,3320,564,580,660,12456,25656,5696,10364,6408,912,0,0,0,144,27384,27884,18800,25852,25296,96,6472,5924,5692,4420,22172,15356,38624,0,7272,5396,334184
142808,677082,3812,752,564,372,9992,21412,14640,12768,10704,740,0,0,0,0,28392,32264,21772,36060,35388,240,10036,8332,7264,6852,43196,36080,0,38624,7368,6872,398040
79103,377448,1704,256,548,224,7888,11916,6792,3388,2548,356,0,0,0,0,14352,15596,25396,5952,22572,84,5448,6216,4000,3972,16060,0,36080,15356,5264,4300,549554
84174,407925,2200,272,396,240,6500,13980,8172,4524,3336,664,0,12,0,0,27444,6592,15896,15692,22548,228,36504,34524,25336,30732,0,16060,43196,22172,37132,31840,295485
116275,541212,5836,11832,8848,4980,528,7076,324,6064,3256,484,26604,17160,19512,19292,3084,0,0,4,22384,212,27528,33892,17236,0,30732,3972,6852,4420,7136,8112,1218834
132296,638840,9428,10072,6336,9932,748,8344,476,7548,4912,632,20544,28676,20500,28628,6356,0,0,452,27896,288,41820,22208,0,17236,25336,4000,7264,5692,8156,8060,1868285
150551,676598,14332,7236,8124,12612,632,11016,420,8172,5112,340,22064,23272,53460,15908,4120,0,0,0,31608,308,35792,0,22208,33892,34524,6216,8332,5924,11844,8664,4335872
166416,754444,17317,5128,16144,6700,832,11096,472,5876,6940,480,29424,34144,10804,48064,7224,0,0,0,34572,404,0,35792,41820,27528,36504,5448,10036,6472,11512,11316,5738377
85814,804892,1588,1732,8272,14228,504,1992,444,564,70640,47017,3088,2272,2336,7972,2044,404,240,352,81316,0,404,308,288,212,228,84,240,96,64880,66160,77946
81801,868315,2572,6316,8584,16216,816,2612,948,396,83201,87652,4528,7876,3732,7396,1872,660,8016,1248,0,81316,34572,31608,27896,22384,22548,22572,35388,25296,99132,71648,168027
60093,434184,3056,1984,4184,3520,27336,29692,14860,13736,84,8,152,304,364,1392,20124,12588,13636,0,1248,352,0,0,452,4,15692,5952,36060,25852,120,0,20799
60013,426211,6204,1808,4640,3808,23185,23708,21268,22660,0,8,416,128,500,564,14100,23168,0,13636,8016,240,0,0,0,0,15896,25396,21772,18800,0,0,44061
61919,414736,2768,1964,5736,3328,27200,19532,26257,3240,0,56,260,596,372,380,18328,0,23168,12588,660,404,0,0,0,0,6592,15596,32264,27884,0,0,16336
60114,433667,2580,2860,4352,3212,15400,26805,29056,1332,5984,92,320,212,268,556,0,18328,14100,20124,1872,2044,7224,4120,6356,3084,27444,14352,28392,27384,2664,3536,16928
86526,624376,39072,24204,32164,27848,0,2172,100,3240,0,8,29468,20620,30800,0,556,380,564,1392,7396,7972,48064,15908,28628,19292,0,0,0,144,0,0,19185
80189,545834,23932,28108,28832,32949,0,2160,0,2732,76,164,15028,25820,0,30800,268,372,500,364,3732,2336,10804,53460,20500,19512,0,0,0,0,144,144,17628
882811,505130,30628,25708,32745,17276,0,2160,0,2592,12,16,20652,0,25820,20620,212,596,128,304,7876,2272,34144,23272,28676,17160,12,0,0,0,32,0,20189
75707,566816,22148,26617,30180,27272,120,2160,0,2692,0,40,0,20652,15028,29468,320,260,416,152,4528,3088,29424,22064,20544,26604,0,0,0,0,0,0,17828
18731,1060447,1272,824,1652,1748,1612,4980,1512,1304,24280,0,40,16,164,8,92,56,8,8,87652,47017,480,340,632,484,664,356,740,912,1328,1796,72971
51871,2110716,1244,492,1532,1432,1428,4736,1692,952,0,24280,0,12,76,0,5984,0,0,84,83201,70640,6940,5112,4912,3256,3336,2548,10704,6408,40608,34996,10122
6339,61660,4624,4592,1188,1116,1224,3724,1344,0,952,1304,2692,2592,2732,3240,1332,3240,22660,13736,396,564,5876,8172,7548,6064,4524,3388,12768,10364,5708,5440,16197
41443,1061031,1128,624,1544,1404,1556,6320,0,1344,1692,1512,0,0,0,100,29056,26257,21268,14860,948,444,472,420,476,324,8172,6792,14640,5696,312,224,4416
40381,1055497,3508,2188,5768,4376,5216,0,6320,3724,4736,4980,2160,2160,2160,2172,26805,19532,23708,29692,2612,1992,11096,11016,8344,7076,13980,11916,21412,25656,11164,9708,4968
41319,1057022,1096,624,1572,1572,0,5216,1556,1224,1428,1612,120,0,0,0,15400,27200,23185,27336,816,504,832,632,748,528,6500,7888,9992,12456,832,452,4428
39764,1056264,1080,736,3492,0,1572,4376,1404,1116,1432,1748,27272,17276,32949,27848,3212,3328,3808,3520,16216,14228,6700,12612,9932,4980,240,224,372,660,448,204,4240
45931,1062938,1592,1736,0,3492,1572,5768,1544,1188,1532,1652,30180,32745,28832,32164,4352,5736,4640,4184,8584,8272,16144,8124,6336,8848,396,548,564,580,616,488,5180
39990,1071234,4732,0,1736,736,624,2188,624,4592,492,824,26617,25708,28108,24204,2860,1964,1808,1984,6316,1732,5128,7236,10072,11832,272,256,752,564,264,520,4412
23979,1056549,0,4732,1592,1080,1096,3508,1128,4624,1244,1272,22148,30628,23932,39072,2580,2768,6204,3056,2572,1588,17317,14332,9428,5836,2200,1704,3812,3320,2440,2408,7668
87853,0,1056549,1071234,1062938,1056264,1057022,1055497,1061031,61660,2110716,1060447,566816,505130,545834,624376,433667,414736,426211,434184,868315,804892,754444,676598,638840,541212,407925,377448,677082,514912,649307,651055,324080
0,87853,23979,39990,45931,39764,41319,40381,41443,6339,51871,18731,75707,882811,80189,86526,60114,61919,60013,60093,81801,85814,166416,150551,132296,116275,84174,79103,142808,114675,145078,130543,1875040

