313363,40243,851,586,3834,540,14834,678,6842,4859,5481,12875,36219,27751,1833734,1771865,1668707,470800,1257308,1342811,0
39954,72090,1318,190,1416,128,6653,1406,0,1,110,4537,17653,13994,10152,2523,1334,1921,19277,0,1342811
60840,111312,2356,368,2889,308,8866,3688,0,0,157,7745,30776,21957,13959,5735,4515,3503,0,19277,1257308
25530,48607,2280,695,3401,1301,1197,137,3781,4919,3503,9675,5688,756,5225,10652,5746,0,3503,1921,470800
28668,49621,2380,1096,4227,1017,1248,113,3905,3010,7778,9366,6659,961,6858,11579,0,5746,4515,1334,1668707
43490,80750,4384,1890,6047,1377,1847,318,10021,6083,5275,15392,9955,1814,12324,0,11579,10652,5735,2523,1771865
25103,49226,2222,1342,3282,988,903,163,4634,4577,3843,7821,5283,716,0,12324,6858,5225,13959,10152,1833734
24892,330718,708,644,1439,3427,32738,9855,621,934,905,1864,19923,0,716,1814,961,756,21957,13994,27751
24752,343914,852,789,1217,3952,39010,8635,955,1550,1891,2095,0,19923,5283,9955,6659,5688,30776,17653,36219
119553,204892,5463,4417,13879,4644,2662,0,9652,5578,6386,0,2095,1864,7821,15392,9366,9675,7745,4537,12875
13778,156947,4966,4080,8975,4455,121,39,4940,4165,0,6386,1891,905,3843,5275,7778,3503,157,110,5481
12622,145665,4725,3658,10039,3311,0,1,3568,0,4165,5578,1550,934,4577,6083,3010,4919,0,1,4859
14767,175770,4085,4961,11560,4960,4,19,0,3568,4940,9652,955,621,4634,10021,3905,3781,0,0,6842
4537,1054032,692,362,1196,427,977,0,19,1,39,0,8635,9855,163,318,113,137,3688,1406,678
14293,4198230,824,648,1822,572,0,977,4,0,121,2662,39010,32738,903,1847,1248,1197,8866,6653,14834
6652,1062222,871,637,1097,0,572,427,4960,3311,4455,4644,3952,3427,988,1377,1017,1301,308,128,540
8726,2151728,2751,1238,0,1097,1822,1196,11560,10039,8975,13879,1217,1439,3282,6047,4227,3401,2889,1416,3834
6031,1046067,589,0,1238,637,648,362,4961,3658,4080,4417,789,644,1342,1890,1096,695,368,190,586
6698,1047155,0,589,2751,871,824,692,4085,4725,4966,5463,852,708,2222,4384,2380,2280,2356,1318,851
11004,0,1047155,1046067,2151728,1062222,4198230,1054032,175770,145665,156947,204892,343914,330718,49226,80750,49621,48607,111312,72090,40243
0,11004,6698,6031,8726,6652,14293,4537,14767,12622,13778,119553,24752,24892,25103,43490,28668,25530,60840,39954,313363

