69911617,68563723,20329188,49179195,28440044,14348657,14099464,21268446,14017277,0
106115704,103578205,23227943,74024323,38192175,12774301,9446917,28455606,0,14017277
42195127,39021069,23909283,29927111,23007224,20827808,35859689,0,28455606,21268446
137608722,125377112,29690859,90826682,51000861,12514013,0,35859689,9446917,14099464
65750908,61411643,19790764,44986121,27299438,0,12514013,20827808,12774301,14348657
38313726,34417900,28196271,31211236,0,27299438,51000861,23007224,38192175,28440044
35896749,33650399,42074467,0,31211236,44986121,90826682,29927111,74024323,49179195
57760170,54701490,0,42074467,28196271,19790764,29690859,23909283,23227943,20329188
35507440,0,54701490,33650399,34417900,61411643,125377112,39021069,103578205,68563723
0,35507440,57760170,35896749,38313726,65750908,137608722,42195127,106115704,69911617

