361811709,35159728,17194444,9255220,3787364,19382616,7949920,3395284,54905556,0
243807295,19662948,10445260,6642904,1929480,12143520,5669588,59037464,0,54905556
187065224,12251648,6939052,3483124,1471064,8227200,73075540,0,59037464,3395284
149240859,9365480,5185136,3179160,86140448,6706928,0,73075540,5669588,7949920
149694375,11216600,77159888,90652852,8518540,0,6706928,8227200,12143520,19382616
198778331,17028324,6882024,103181200,0,8518540,86140448,1471064,1929480,3787364
153082095,11247172,5375220,0,103181200,90652852,3179160,3483124,6642904,9255220
134174498,58678612,0,5375220,6882024,77159888,5185136,6939052,10445260,17194444
144152167,0,58678612,11247172,17028324,11216600,9365480,12251648,19662948,35159728
0,144152167,134174498,153082095,198778331,149694375,149240859,187065224,243807295,361811709

