211926,2011324,712092,706793,686062,671582,689124,668804,670251,718018,700355,692550,672338,677421,692398,674359,0
351045,1956552,670409,662265,666256,665133,653919,663329,668700,712908,685049,670887,659812,654459,658633,0,674359
363456,1972214,671290,683301,681493,678745,662783,673946,683265,709969,690011,690302,657459,667617,0,658633,692398
357736,1967750,677697,684507,687432,671622,672774,666578,668918,714376,686736,672792,664972,0,667617,654459,677421
368120,1959099,670419,671094,670781,677013,652341,673603,666142,704933,685126,673648,0,664972,657459,659812,672338
598356,1965874,684516,680183,667077,680824,671053,677123,701120,732444,695790,0,673648,672792,690302,670887,692550
549561,1991162,712252,697399,706560,701213,674605,696040,700679,729627,0,695790,685126,686736,690011,685049,700355
539173,2022081,723476,722800,741685,719404,696521,701905,705652,0,729627,732444,704933,714376,709969,712908,718018
572791,1970327,667255,672399,698492,690550,668098,684289,0,705652,700679,701120,666142,668918,683265,668700,670251
524620,1961937,668632,660881,696850,684967,665819,0,684289,701905,696040,677123,673603,666578,673946,663329,668804
307362,1964935,662587,660591,664750,667048,0,665819,668098,696521,674605,671053,652341,672774,662783,653919,689124
1503969,1971921,667930,670125,691557,0,667048,684967,690550,719404,701213,680824,677013,671622,678745,665133,671582
300834,1977436,679931,685607,0,691557,664750,696850,698492,741685,706560,667077,670781,687432,681493,666256,686062
714498,1993760,685352,0,685607,670125,660591,660881,672399,722800,697399,680183,671094,684507,683301,662265,706793
218966,1988108,0,685352,679931,667930,662587,668632,667255,723476,712252,684516,670419,677697,671290,670409,712092
1318012,0,1988108,1993760,1977436,1971921,1964935,1961937,1970327,2022081,1991162,1965874,1959099,1967750,1972214,1956552,2011324
0,1318012,218966,714498,300834,1503969,307362,524620,572791,539173,549561,598356,368120,357736,363456,351045,211926

