312523,39582,577,581,3827,544,15995,5136,12113,4694,5164,65540,192580,657890,999340,393252,3333561,0
100387,179784,945,250,2367,290,19792,7881,243,1,0,78796,4904,21923,46672,1995,0,3333561
25003,46056,2466,910,3971,1210,1715,10892,6490,3869,3745,3222,6186,16037,4962,0,1995,393252
24110,47164,2015,1089,4183,488,1732,13201,3817,3846,2892,2884,6034,16281,0,4962,46672,999340
48164,94036,3904,1930,7852,2285,3900,19933,13514,10080,6186,8597,16228,0,16281,16037,21923,657890
25387,46165,2296,1226,3039,1507,1788,9299,8502,1238,6162,3147,0,16228,6034,6186,4904,192580
49236,674167,328,10542,1009,160,93702,5169,3752,1097,2137,0,3147,8597,2884,3222,78796,65540
12908,151631,3165,3964,8606,4704,0,3944,6427,3949,0,2137,6162,6186,2892,3745,0,5164
12557,148184,3032,3830,8573,3869,1,2795,5794,0,3949,1097,1238,10080,3846,3869,1,4694
19657,240743,7047,6072,20069,4525,141,7056,0,5794,6427,3752,8502,13514,3817,6490,243,12113
115370,143014,4504,3677,7967,3571,4653,0,7056,2795,3944,5169,9299,19933,13201,10892,7881,5136
18473,5251596,354,855,1242,292,0,4653,141,1,0,93702,1788,3900,1732,1715,19792,15995
6639,1062524,1631,252,2217,0,292,3571,4525,3869,4704,160,1507,2285,488,1210,290,544
8728,2151761,2477,1246,0,2217,1242,7967,20069,8573,8606,1009,3039,7852,4183,3971,2367,3827
6042,1045985,497,0,1246,252,855,3677,6072,3830,3964,10542,1226,1930,1089,910,250,581
6699,1047165,0,497,2477,1631,354,4504,7047,3032,3165,328,2296,3904,2015,2466,945,577
10989,0,1047165,1045985,2151761,1062524,5251596,143014,240743,148184,151631,674167,46165,94036,47164,46056,179784,39582
0,10989,6699,6042,8728,6639,18473,115370,19657,12557,12908,49236,25387,48164,24110,25003,100387,312523

