1870079,323288,6052,6272,4296,4320,5064,5128,4476,14808,81510,9888,22502,17672,18976,43664,16688,21260,27606,238846,6665063,11516886,9913078,7211324,316358,296188,225753,390150,4428047,0
273971,1306277,976,9140,1424,1340,6248,10704,1200,28176,74484,0,300,0,0,848,0,26016,164,376764,26792,27784,26592,25988,21464,19500,20620,34480,0,4428047
104405,486124,1036,4764,948,404,8828,13628,10484,14488,1904,0,156,0,0,25520,10476,40588,18564,21676,15716,13964,13200,13340,25568,14184,15600,0,34480,390150
101346,512086,940,3828,304,400,12888,10768,9100,9656,2040,0,144,0,0,10864,21056,34092,20120,26316,4236,5280,5944,4344,19760,24984,0,15600,20620,225753
104418,485897,1012,6104,552,420,12456,10392,8004,13664,2328,0,0,0,0,21096,21312,28752,23652,24520,4816,5572,4408,6140,20244,0,24984,14184,19500,296188
109830,502242,1092,5448,460,620,14384,13432,7868,12036,2212,0,144,144,0,31372,27048,20416,15348,25900,6572,6460,6180,5972,0,20244,19760,25568,21464,316358
136018,624436,8433,18504,8056,6732,3328,6072,412,12676,2612,26932,28612,30440,17348,408,0,12832,0,24128,25788,29232,36296,0,5972,6140,4344,13340,25988,7211324
140460,640700,11044,16212,5140,10644,3576,3916,600,15956,1892,34580,29336,13320,29992,424,0,12188,0,27692,29244,34380,0,36296,6180,4408,5944,13200,26592,9913078
148641,668896,10592,14108,15888,3372,4624,3376,424,14780,2668,17848,30124,33524,29704,456,0,11900,152,29864,33868,0,34380,29232,6460,5572,5280,13964,27784,11516886
140290,658424,8984,11844,7060,14576,4224,4564,276,14224,2208,14412,25736,36208,33964,580,0,12192,164,26612,0,33868,29244,25788,6572,4816,4236,15716,26792,6665063
166106,1668835,1720,4264,5108,44524,480,1968,0,2160,340749,9080,12728,9340,7248,10760,604,7132,660,0,26612,29864,27692,24128,25900,24520,26316,21676,376764,238846
58335,424089,1712,6240,2592,3232,18360,23940,24920,6456,20,296,532,384,268,19852,23244,11236,0,660,164,152,0,0,15348,23652,20120,18564,164,27606
58341,419467,1940,4404,2048,5024,21509,20180,27472,3960,14320,244,256,428,320,14012,15172,0,11236,7132,12192,11900,12188,12832,20416,28752,34092,40588,26016,21260
60701,429354,1920,5648,3424,3012,29844,22828,17724,4536,8,228,380,380,208,14748,0,15172,23244,604,0,0,0,0,27048,21312,21056,10476,0,16688
64178,436032,2400,9408,2960,4368,26160,25477,23629,32812,708,628,1112,952,772,0,14748,14012,19852,10760,580,456,424,408,31372,21096,10864,25520,848,43664
82286,554508,27616,35216,29764,24764,336,960,0,4320,8,19744,17228,29812,0,772,208,320,268,7248,33964,29704,29992,17348,0,0,0,0,0,18976
893509,599084,34820,28517,30657,28396,480,960,200,4716,132,19320,31136,0,29812,952,380,428,384,9340,36208,33524,13320,30440,144,0,0,0,0,17672
82291,593301,31320,40768,26112,22212,264,1200,132,4596,164,15908,0,31136,17228,1112,380,256,532,12728,25736,30124,29336,28612,144,0,144,156,300,22502
67846,492967,19744,22504,18480,33469,240,1116,0,3392,96,0,15908,19320,19744,628,228,244,296,9080,14412,17848,34580,26932,0,0,0,0,0,9888
68991,3169007,976,1728,1416,1736,1092,2944,2068,2332,0,96,164,132,8,708,8,14320,20,340749,2208,2668,1892,2612,2212,2328,2040,1904,74484,81510
6339,61752,6048,6108,2424,2616,4476,2884,2696,0,2332,3392,4596,4716,4320,32812,4536,3960,6456,2160,14224,14780,15956,12676,12036,13664,9656,14488,28176,14808
41407,1060827,868,1524,1760,1484,1560,3700,0,2696,2068,0,132,200,0,23629,17724,27472,24920,0,276,424,600,412,7868,8004,9100,10484,1200,4476
40381,1054125,1216,2416,3348,2952,5052,0,3700,2884,2944,1116,1200,960,960,25477,22828,20180,23940,1968,4564,3376,3916,6072,13432,10392,10768,13628,10704,5128
41331,1056838,1948,3088,1740,1400,0,5052,1560,4476,1092,240,264,480,336,26160,29844,21509,18360,480,4224,4624,3576,3328,14384,12456,12888,8828,6248,5064
40039,1069670,1344,2160,3076,0,1400,2952,1484,2616,1736,33469,22212,28396,24764,4368,3012,5024,3232,44524,14576,3372,10644,6732,620,420,400,404,1340,4320
39770,1055993,1536,1928,0,3076,1740,3348,1760,2424,1416,18480,26112,30657,29764,2960,3424,2048,2592,5108,7060,15888,5140,8056,460,552,304,948,1424,4296
45903,1062926,5128,0,1928,2160,3088,2416,1524,6108,1728,22504,40768,28517,35216,9408,5648,4404,6240,4264,11844,14108,16212,18504,5448,6104,3828,4764,9140,6272
23938,1055057,0,5128,1536,1344,1948,1216,868,6048,976,19744,31320,34820,27616,2400,1920,1940,1712,1720,8984,10592,11044,8433,1092,1012,940,1036,976,6052
87778,0,1055057,1062926,1055993,1069670,1056838,1054125,1060827,61752,3169007,492967,593301,599084,554508,436032,429354,419467,424089,1668835,658424,668896,640700,624436,502242,485897,512086,486124,1306277,323288
0,87778,23938,45903,39770,40039,41331,40381,41407,6339,68991,67846,82291,893509,82286,64178,60701,58341,58335,166106,140290,148641,140460,136018,109830,104418,101346,104405,273971,1870079

