356496505,19528063,8104399,6601148,30731629,22183442,17056277,17349132,17136860,21074545,8589096,0
332703018,14980343,7619230,6410134,24645327,17266511,13102057,13738216,15391934,37085851,0,8589096
363190715,14012236,10584005,10393224,17232363,13504259,10169163,12551940,41112251,0,37085851,21074545
359491640,17348364,16255495,13390393,18820790,15525491,14245481,43584828,0,41112251,15391934,17136860
351763856,16268867,14849386,12493105,16160994,14596729,39420981,0,43584828,12551940,13738216,17349132
356054367,15422548,12538293,11949929,17806732,50914519,0,39420981,14245481,10169163,13102057,17056277
350684282,16717146,17391328,17377512,54365332,0,50914519,14596729,15525491,13504259,17266511,22183442
357936351,23236312,24976887,58221036,0,54365332,17806732,16160994,18820790,17232363,24645327,30731629
397828030,17394034,44213695,0,58221036,17377512,11949929,12493105,13390393,10393224,6410134,6601148
408087829,53224387,0,44213695,24976887,17391328,12538293,14849386,16255495,10584005,7619230,8104399
280333833,0,53224387,17394034,23236312,16717146,15422548,16268867,17348364,14012236,14980343,19528063
0,280333833,408087829,397828030,357936351,350684282,356054367,351763856,359491640,363190715,332703018,356496505

