1883447,234620,4644,4968,80,6006,4468,68091,80,4264,4432,4304,80,15381,9850,15462,13497,12920,13976,68103,24658,53573,52058,12707,31817,10280,10512,51496,1176224,356207,196983,260285,197590,142311,222897,130945,217981,113451,110141,167049,950645,0
369157,1303781,856,10228,0,336,576,636,0,1000,572,416,1236,5008,73004,24,24,24,24,960,36,72,2592,24,168,168,24,307240,108148,22844,6512,6592,4024,4096,5952,4072,44532,4416,5940,15848,0,950645
63287,287020,448,5980,0,220,148,208,0,320,5252,10012,0,4112,980,0,0,288,0,240,12,140,2524,12776,10416,13096,11476,27364,11684,15724,9060,11068,2612,2188,2676,1776,31664,9232,12636,0,15848,167049
53067,270588,60,5416,0,80,276,284,0,552,7712,4372,0,4996,924,0,0,288,0,172,0,24,1804,6484,11948,7732,13720,18400,2024,5336,1356,3156,1776,1672,2656,2072,23488,6288,0,12636,5940,110141
52990,270848,248,5076,0,184,200,116,0,172,6924,6152,372,2960,784,144,0,0,0,196,24,12,1816,8908,10036,5596,14384,19000,2740,5004,2172,3904,2732,2344,2192,2260,25864,0,6288,9232,4416,113451
106977,494794,904,11992,0,464,380,528,0,672,13976,13412,1236,8040,1704,0,0,308,0,460,12,104,3160,22272,24284,27448,13920,46384,9288,17064,8180,10336,7388,6404,7708,6680,0,25864,23488,31664,44532,217981
63237,315298,264,4084,0,180,8972,56,0,7196,104,128,0,3724,984,0,0,0,0,14636,22828,7976,9592,0,0,0,0,22700,2928,5724,3084,3280,13724,12708,19292,0,6680,2260,2072,1776,4072,130945
78962,387348,248,8308,0,268,13784,400,0,6024,408,204,228,3116,1396,300,0,452,0,15712,13528,12940,26844,144,0,0,0,26292,4412,7832,3580,3504,16336,16220,0,19292,7708,2192,2656,2676,5952,222897
64759,309432,272,4844,0,440,4120,356,0,12112,212,92,392,4180,788,0,0,144,0,14868,12796,11380,18436,4,148,288,0,23984,2648,6260,1996,2388,15360,0,16220,12708,6404,2344,1672,2188,4096,142311
74581,328440,540,7796,0,228,7888,1652,0,9536,208,208,1092,4796,832,288,0,576,0,13308,16240,21036,19280,144,144,0,0,24152,3548,6904,3316,2980,0,15360,16336,13724,7388,2732,1776,2612,4024,197590
99667,480556,13120,12992,0,6648,304,364,0,620,368,296,660,3144,1372,5920,20232,34252,16264,400,24,24,3240,0,0,0,0,27824,25476,40780,22584,0,2980,2388,3504,3280,10336,3904,3156,11068,6592,260285
81848,442579,6764,12192,0,6480,128,224,0,296,128,164,392,3536,1028,16004,19576,13128,11500,272,16,52,1964,144,144,0,0,24084,18624,33080,0,22584,3316,1996,3580,3084,8180,2172,1356,9060,6512,196983
