41,3757875,1299079,25115210,9157265
40,201449781,107267303,897400830,457425535
39,44681994,23726981,198867326,100711948
38,41289090,21834981,184349242,91238017
37,42511288,22420274,189633274,93450885
36,76874162,40857616,342868928,173261350
35,48250072,25568491,215700062,107445885
34,56402095,29886808,251526146,127604836
33,47219562,25162877,211837638,106282625
32,50290283,26839940,224728991,114781752
31,71861986,36861584,312583955,160304080
30,63990958,32334762,276686605,140380935
29,90364890,46796251,393157847,205249695
28,65751288,33531226,283199870,149233346
27,27329640,9381954,202001484,64810682
26,6752713,2316204,49913530,15998718
25,7120292,2440306,52634876,16855584
24,7428957,2557557,54890018,17668800
23,6771889,2323269,50053982,16047800
22,10754042,3688190,79490121,25479163
21,9589694,3288003,70884296,22714487
20,9887403,3387112,73092888,23395913
19,10563958,3622488,78085975,25026149
18,9566750,3282624,70712597,22674429
17,10281707,3527678,75998068,24368004
16,10136090,3477320,74921873,24019463
15,10698195,3670154,79078557,25352851
14,84540517,29646669,381041592,118969217
13,2288864,815032,10380225,3320828
12,1698,1228,9735,7368
11,42595210,14935564,191957451,59919030
10,41964667,14714690,189116911,59033812
9,42055515,14746634,189527945,59162880
8,1700,1228,9751,7368
7,42092691,14765832,189787706,59293647
5,42088622,14758857,189689349,59219663
6,41970832,14718827,189175841,59068889
4,1705,1233,9783,7400
3,42109220,14765906,189778633,59245547
2,41971733,14717530,189156413,59050023
1,3552569,1999609,51194043,23987696
0,2339693,686359,13850014,4123971
