                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   11197688 |    3146771 |    3451106 |    2918359 |    3325310 |    3637756
  Cycles                             |    9352800 |    9352800 |    9352800 |    9352800 |    9352800 |    9352800
  IPC                                |       1.20 |       0.34 |       0.37 |       0.31 |       0.36 |       0.39
  Time (ns)                          |    2338200 |    2338200 |    2338200 |    2338200 |    2338200 |    2338200
  Idle time (ns)                     |       1412 |    1805596 |    1806189 |    1806255 |    1806084 |    1806415
  Idle time (%)                      |       0.1% |      77.2% |      77.2% |      77.2% |      77.2% |      77.3%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1354926 |     941886 |    1069160 |     845341 |    1001707 |    1131999
  num incorrect                      |      80424 |      11323 |       6983 |      14250 |      11127 |       7096
  misprediction rate                 |      5.60% |      1.19% |      0.65% |      1.66% |      1.10% |      0.62%
  mpki                               |       7.18 |       3.60 |       2.02 |       4.88 |       3.35 |       1.95
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    1314292 |      94654 |      66639 |     116764 |      95279 |      66909
    num misses                       |        178 |         29 |         27 |         27 |         29 |         27
    miss rate                        |      0.01% |      0.03% |      0.04% |      0.02% |      0.03% |      0.04%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    2761034 |     669505 |     698635 |     645785 |     697369 |     729471
    num misses                       |       1405 |        127 |        166 |        156 |        144 |        177
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.13 |       0.04 |       0.05 |       0.05 |       0.04 |       0.05
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       1583 |        156 |        193 |        183 |        173 |        204
    num misses                       |        588 |        133 |        141 |        143 |        137 |        142
    miss rate                        |     37.14% |     85.26% |     73.06% |     78.14% |     79.19% |     69.61%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    1314292 |      94654 |      66639 |     116764 |      95279 |      66909
    num cache misses                 |       2792 |        179 |        172 |        172 |        179 |        170
    miss rate                        |      0.21% |      0.19% |      0.26% |      0.15% |      0.19% |      0.25%
    mpki                             |       0.25 |       0.06 |       0.05 |       0.06 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    2761034 |     669505 |     698635 |     645785 |     697369 |     729471
    num cache misses                 |      40636 |      16885 |      16640 |      17023 |      16715 |      16410
    miss rate                        |      1.47% |      2.52% |      2.38% |      2.64% |      2.40% |      2.25%
    mpki                             |       3.63 |       5.37 |       4.82 |       5.83 |       5.03 |       4.51
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      45701 |      17178 |      16883 |      17317 |      17537 |      17138
    num cache misses                 |      31921 |      15395 |      15281 |      15475 |      15224 |      15016
    miss rate                        |     69.85% |     89.62% |     90.51% |     89.36% |     86.81% |     87.62%
    mpki                             |       2.85 |       4.89 |       4.43 |       5.30 |       4.58 |       4.13
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      34440 |      15520 |      15357 |      15598 |      15867 |      15575
    num cache misses                 |      22709 |       6383 |       6234 |       6239 |      12256 |      12003
    miss rate                        |     65.94% |     41.13% |     40.59% |     40.00% |     77.24% |     77.07%
    mpki                             |       2.03 |       2.03 |       1.81 |       2.14 |       3.69 |       3.30
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      10558 |          0 |          0 |          0 |      10498 |          0
  average dram access latency (ns)   |      61.46 |        inf |        inf |        inf |      61.44 |        inf
  average dram queueing delay        |       0.21 |       0.00 |       0.00 |       0.00 |       0.19 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10463 |        220 |        224 |        256 |         66 |         67
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2282 |       2253 |       2215 |       2256 |       2453 |       2305
