2579052,466916,31065,5768,4352,4316,53011,4108,44845,44250,42101,40011,121509,140197,2477215,3510408,7218501,6595785,6867859,6863226,0
500500,2372540,8264,10276,8528,536,116764,15716,1512,8,28860,0,184704,219372,187460,14652,24164,26992,313864,0,6863226
470811,2367689,10444,9228,8668,340,106968,17020,1424,8,26748,0,165520,209728,191176,30516,44764,45968,0,313864,6867859
339258,1677125,64832,28924,25812,11052,13184,936,63704,66512,111356,53852,8080,95008,71696,91372,163724,0,45968,26992,6595785
321913,1606476,67041,25828,24128,13444,11900,1348,71472,54164,94520,59508,4860,93444,89080,76120,0,163724,44764,24164,7218501
199593,956490,42472,13788,17028,4268,7672,660,30332,37488,56572,50888,5336,56752,40452,0,76120,91372,30516,14652,3510408
193109,947855,38096,13728,14760,7516,6120,608,39740,31156,67908,24704,4672,55360,0,40452,89080,71696,191176,187460,2477215
271124,2006163,9720,3300,3728,45728,301996,35012,7380,4968,17152,7016,232424,0,55360,56752,93444,95008,209728,219372,140197
281453,2068689,11896,3588,3752,45324,313801,51957,8376,4932,17540,6204,0,232424,4672,5336,4860,8080,165520,184704,121509
142973,1086685,113040,20688,22109,20240,0,48,58008,62212,62040,0,6204,7016,24704,50888,59508,53852,0,0,40011
965924,1133382,101344,19145,16388,23245,28460,8,68652,63032,0,62040,17540,17152,67908,56572,94520,111356,26748,28860,42101
142319,1088731,108396,22532,15732,23968,8,156,59784,0,63032,62212,4932,4968,31156,37488,54164,66512,8,8,44250
151840,1135149,116288,20676,23528,17460,1352,360,0,59784,68652,58008,8376,7380,39740,30332,71472,63704,1424,1512,44845
38719,1055432,6280,2128,2416,1508,2980,0,360,156,8,48,51957,35012,608,660,1348,936,17020,15716,4108
165259,6673977,14452,5344,4844,3276,0,2980,1352,8,28460,0,313801,301996,6120,7672,11900,13184,106968,116764,53011
39940,1059490,25296,3768,3960,0,3276,1508,17460,23968,23245,20240,45324,45728,7516,4268,13444,11052,340,536,4316
39589,1059107,49988,14628,0,3960,4844,2416,23528,15732,16388,22109,3752,3728,14760,17028,24128,25812,8668,8528,4352
34866,1065134,39496,0,14628,3768,5344,2128,20676,22532,19145,20688,3588,3300,13728,13788,25828,28924,9228,10276,5768
105343,5281873,0,39496,49988,25296,14452,6280,116288,108396,101344,113040,11896,9720,38096,42472,67041,64832,10444,8264,31065
135323,0,5281873,1065134,1059107,1059490,6673977,1055432,1135149,1088731,1133382,1086685,2068689,2006163,947855,956490,1606476,1677125,2367689,2372540,466916
0,135323,105343,34866,39589,39940,165259,38719,151840,142319,965924,142973,281453,271124,193109,199593,321913,339258,470811,500500,2579052

