440838,58380,1190,4455,556,534,2087,6235,770,10137,7112,8845,14351,20955,10980,22928,3644270,2690308,1911967,1250781,2445021,1438033,2579093,0
57231,108200,3669,2617,183,243,1732,8895,3298,87,0,125,4737,13935,14139,22495,4333,5104,2666,5297,16170,11490,0,2579093
58088,108788,3375,2207,200,213,1396,8804,3615,48,0,112,4363,12069,12812,28370,4602,4996,2647,5856,15187,0,11490,1438033
59152,113772,3349,2510,148,227,1785,8933,3694,60,0,119,4730,14046,11749,27310,9259,9311,6358,8709,0,15187,16170,2445021
34363,66616,2058,4540,809,1179,152,851,1085,4311,6857,4540,9144,718,304,11385,9884,9142,5231,0,8709,5856,5297,1250781
37868,70101,2544,6219,637,831,90,1243,1629,6402,4406,4626,12675,341,318,10988,9735,9726,0,5231,6358,2647,2666,1911967
59854,111670,5116,8708,1648,1407,305,1531,3101,9561,9396,10297,16454,989,644,17062,15562,0,9726,9142,9311,4996,5104,2690308
54763,105936,3057,8216,1410,1303,153,1768,2518,10062,7953,9626,13922,793,726,16957,0,15562,9735,9884,9259,4602,4333,3644270
27904,337440,839,1777,2772,317,8092,29220,4269,290,354,877,1945,12367,12160,0,16957,17062,10988,11385,27310,28370,22495,22928
26349,327147,833,1642,2492,176,6076,25517,6416,322,287,458,1493,9757,0,12160,726,644,318,304,11749,12812,14139,10980
27415,319871,859,1566,3028,368,4633,35390,4718,1265,300,606,2067,0,9757,12367,793,989,341,718,14046,12069,13935,20955
131589,308058,7025,22822,6322,5221,18,3720,633,11371,8540,10428,0,2067,1493,1945,13922,16454,12675,9144,4730,4363,4737,14351
20486,259082,3956,22485,3793,2245,33,137,672,7724,6241,0,10428,606,458,877,9626,10297,4626,4540,119,112,125,8845
19531,250303,3297,19865,2619,4894,10,1,614,7364,0,6241,8540,300,287,354,7953,9396,4406,6857,0,0,0,7112
21343,258517,4859,21726,3637,4073,40,56,644,0,7364,7724,11371,1265,322,290,10062,9561,6402,4311,60,48,87,10137
6310,1049901,806,3136,414,421,370,1001,0,644,614,672,633,4718,6416,4269,2518,3101,1629,1085,3694,3615,3298,770
20411,5564835,789,2655,516,518,719,0,1001,56,1,137,3720,35390,25517,29220,1768,1531,1243,851,8933,8804,8895,6235
4318,1051014,961,1199,185,151,0,719,370,40,10,33,18,4633,6076,8092,153,305,90,152,1785,1396,1732,2087
6574,1047305,461,2544,575,0,151,518,421,4073,4894,2245,5221,368,176,317,1303,1407,831,1179,227,213,243,534
6480,1051570,445,1792,0,575,185,516,414,3637,2619,3793,6322,3028,2492,2772,1410,1648,637,809,148,200,183,556
18496,5242643,4025,0,1792,2544,1199,2655,3136,21726,19865,22485,22822,1566,1642,1777,8216,8708,6219,4540,2510,2207,2617,4455
3442,1046920,0,4025,445,461,961,789,806,4859,3297,3956,7025,859,833,839,3057,5116,2544,2058,3349,3375,3669,1190
17009,0,1046920,5242643,1051570,1047305,1051014,5564835,1049901,258517,250303,259082,308058,319871,327147,337440,105936,111670,70101,66616,113772,108788,108200,58380
0,17009,3442,18496,6480,6574,4318,20411,6310,21343,19531,20486,131589,27415,26349,27904,54763,59854,37868,34363,59152,58088,57231,440838

