11821245,8068515,6408444,7107063,6766008,7664139,6407593,8652628,11700358,8380093,0
10840983,8262634,6941824,7511142,8002370,7832025,6922528,9096389,13419556,0,8380093
13863705,11382137,10135035,10700609,10370484,10650567,10116711,11612089,0,13419556,11700358
10534710,8348082,7104439,7630538,7279877,8160653,7055806,0,11612089,9096389,8652628
8595056,6495596,4962366,5531123,5187533,6091268,0,7055806,10116711,6922528,6407593
9829044,7630876,6092997,6658834,6314115,0,6091268,8160653,10650567,7832025,7664139
9170410,6731405,5187403,5758097,0,6314115,5187533,7279877,10370484,8002370,6766008
9142135,7076827,5530309,0,5758097,6658834,5531123,7630538,10700609,7511142,7107063
8828219,6495836,0,5530309,5187403,6092997,4962366,7104439,10135035,6941824,6408444
10461573,0,6495836,7076827,6731405,7630876,6495596,8348082,11382137,8262634,8068515
0,10461573,8828219,9142135,9170410,9829044,8595056,10534710,13863705,10840983,11821245

