51186002,48517433,41989219,36547352,48389350,50659581,46569247,35034843,37187496,0
48132261,47444345,40038061,23472828,47916484,53128540,44928506,22499549,0,37187496
47033119,46867087,37805873,19542198,49581373,54767483,44683101,0,22499549,35034843
49841146,45884405,42014742,45594867,44493719,43907577,0,44683101,44928506,46569247
57004572,50008166,45595575,55761418,47793562,0,43907577,54767483,53128540,50659581
56062238,46988606,46191448,50457335,0,47793562,44493719,49581373,47916484,48389350
49066479,48564930,37859005,0,50457335,55761418,45594867,19542198,23472828,36547352
48608918,46166994,0,37859005,46191448,45595575,42014742,37805873,40038061,41989219
53951021,0,46166994,48564930,46988606,50008166,45884405,46867087,47444345,48517433
0,53951021,48608918,49066479,56062238,57004572,49841146,47033119,48132261,51186002

