97541469,2411446,1391601,2583188,1536366,1744596,17366829,22588046,1397805,0
101548945,2865875,2106302,3628298,2053226,2481917,2332835,28762883,0,1397805
99975344,2599738,1455257,2955577,1176133,1781494,1865205,0,28762883,22588046
85908152,2340448,1875785,2207352,23318899,2156848,0,1865205,2332835,17366829
78915597,1686799,21695931,22972684,1553043,0,2156848,1781494,2481917,1744596
82951802,1722730,1341026,24030817,0,1553043,23318899,1176133,2053226,1536366
82588637,1610510,1531904,0,24030817,22972684,2207352,2955577,3628298,2583188
84530951,19921838,0,1531904,1341026,21695931,1875785,1455257,2106302,1391601
98405708,0,19921838,1610510,1722730,1686799,2340448,2599738,2865875,2411446
0,98405708,84530951,82588637,82951802,78915597,85908152,99975344,101548945,97541469

