1841395,2281040,952980,992385,901353,910495,909137,905852,914868,911706,915333,911157,0
1104552,2255269,953246,917021,887311,897008,891722,881796,887266,884189,884602,0,911157
1087052,2260603,928454,915188,876527,890300,889631,882989,891893,882147,0,884602,915333
1078140,2254033,931404,914796,881509,902936,891832,882816,895958,0,882147,884189,911706
1092717,2270733,939843,921611,889260,905708,901375,893568,0,895958,891893,887266,914868
1115672,2275975,955433,920760,887399,892796,892739,0,893568,882816,882989,881796,905852
3019934,2258262,953209,920650,880437,903062,0,892739,901375,891832,889631,891722,909137
899753,2262881,924614,966633,884010,0,903062,892796,905708,902936,890300,897008,910495
1079012,2250137,944849,908754,0,884010,880437,887399,889260,881509,876527,887311,901353
963805,2286901,947092,0,908754,966633,920650,920760,921611,914796,915188,917021,992385
937060,2243126,0,947092,944849,924614,953209,955433,939843,931404,928454,953246,952980
3125762,0,2243126,2286901,2250137,2262881,2258262,2275975,2270733,2254033,2260603,2255269,2281040
0,3125762,937060,963805,1079012,899753,3019934,1115672,1092717,1078140,1087052,1104552,1841395

