429911,58444,4494,790,549,544,8269,515,9736,9691,8866,8722,25769,29281,460018,692570,1383223,1153408,1472665,1483011,0
88959,161839,1528,1733,1444,118,15412,2017,189,1,4803,0,28579,34905,31336,2426,4078,4628,55951,0,1483011
83628,161700,1954,1568,1463,76,14135,2204,178,1,4450,0,25976,33148,32370,5705,8028,8296,0,55951,1472665
60249,114516,9010,4340,3849,1505,2944,204,10202,10336,17981,8585,1996,16237,12580,16001,28778,0,8296,4628,1153408
57217,109527,9448,3952,3654,1815,2702,273,11186,8700,15328,9394,1181,16211,15545,13223,0,28778,8028,4078,1383223
35384,65810,5819,2124,2652,580,1715,137,4766,6093,9196,7994,1315,9871,6948,0,13223,16001,5705,2426,692570
34326,63976,5310,2109,2190,998,1383,142,6358,4933,10802,3897,1157,9453,0,6948,15545,12580,32370,31336,460018
39940,484530,1309,510,573,5716,52807,6143,1048,760,2793,940,38283,0,9453,9871,16211,16237,33148,34905,29281
41457,499573,1661,534,581,5679,54777,9122,1342,754,2846,817,0,38283,1157,1315,1181,1996,25976,28579,25769
21081,262907,19025,3498,3643,3357,0,12,9876,10620,10673,0,817,940,3897,7994,9394,8585,0,0,8722
127963,274494,16895,3246,2655,3986,4744,1,11946,11073,0,10673,2846,2793,10802,9196,15328,17981,4450,4803,8866
20983,263350,18061,3765,2661,4033,1,39,10179,0,11073,10620,754,760,4933,6093,8700,10336,1,1,9691
22328,274662,19548,3388,3929,2885,170,52,0,10179,11946,9876,1342,1048,6358,4766,11186,10202,178,189,9736
6424,1046358,1416,406,470,366,721,0,52,39,1,12,9122,6143,142,137,273,204,2204,2017,515
24297,6618626,3329,1021,929,803,0,721,170,1,4744,0,54777,52807,1383,1715,2702,2944,14135,15412,8269
6626,1050777,4797,694,721,0,803,366,2885,4033,3986,3357,5679,5716,998,580,1815,1505,76,118,544
6577,1047645,9132,2662,0,721,929,470,3929,2661,2655,3643,581,573,2190,2652,3654,3849,1463,1444,549
5961,1052345,7099,0,2662,694,1021,406,3388,3765,3246,3498,534,510,2109,2124,3952,4340,1568,1733,790
15978,5237960,0,7099,9132,4797,3329,1416,19548,18061,16895,19025,1661,1309,5310,5819,9448,9010,1954,1528,4494
16993,0,5237960,1052345,1047645,1050777,6618626,1046358,274662,263350,274494,262907,499573,484530,63976,65810,109527,114516,161700,161839,58444
0,16993,15978,5961,6577,6626,24297,6424,22328,20983,127963,21081,41457,39940,34326,35384,57217,60249,83628,88959,429911

