5,270336635,12506519,1594872215,82067504
9,275408647,13295247,1626711739,87272324
3,455591617,13747789,2345396068,90653128
7,276737256,13321964,1630860391,87561764
10,275214108,12816593,1621876828,83835700
8,367895315,13356577,1991060470,88020156
6,282187919,13214087,1654027274,86650280
4,396745906,13838717,2115733233,91099968
11,278759162,13614305,1643127719,89475192
12,442768920,13070810,2294862930,85650320
2,320248883,12650371,1800866646,82697348
1,318126093,13046297,1805526072,85013488
0,325145544,12614774,1821020139,82223101
