418631,59128,1075,4709,533,530,2672,700,547,580,541,505,2995,4886,9689,8190,5725,6697,8098,6100,5787,10160,12932,7265,704924,629667,592843,1125503,862427,519943,358925,446684,2128573,2051097,2715462,0
38918,74466,2277,297,82,931,471,1308,503,98,1897,1541,3867,0,24,1359,75,24,3,0,0,6461,12310,13202,776,824,5983,1692,3292,798,1506,899,6753,7198,0,2715462
37082,73154,2337,408,76,667,478,1274,518,106,988,1266,4679,0,0,1103,80,0,21,0,0,7650,14007,8016,845,858,6428,1478,3116,994,1335,849,6915,0,7198,2051097
39721,76663,2785,448,131,862,439,1388,700,149,1550,1376,4658,0,0,1218,99,24,0,24,0,13895,14048,5514,899,931,6766,1533,3373,911,1357,850,0,6915,6753,2128573
25885,49202,2568,459,78,808,2322,2269,1552,874,135,125,555,0,0,1287,69,8668,3942,3385,5181,0,3437,72,702,720,882,1512,6639,4099,8953,0,850,849,899,446684
43224,80712,2992,566,137,1532,2632,2101,3277,2640,171,131,793,0,0,3075,131,6865,9685,6190,8190,36,9613,24,1150,1254,1203,2584,12171,9353,0,8953,1357,1335,1506,358925
25905,51600,2548,411,87,807,2695,2325,1450,610,116,85,442,0,0,1194,43,4151,5964,6778,2618,51,3543,24,1041,879,879,1648,7139,0,9353,4099,911,994,798,519943
25912,50451,2573,437,83,715,2794,2040,872,785,97,70,569,0,1,1218,46,3232,5294,4906,5802,0,4558,0,2803,2917,2654,4982,0,7139,12171,6639,3373,3116,3292,862427
46380,89567,3727,4211,1883,3075,754,1813,1458,161,195,198,949,8260,9320,10400,9137,48,0,48,24,96,9629,72,9776,8823,9617,0,4982,1648,2584,1512,1533,1478,1692,1125503
26070,52275,4067,2264,782,1348,232,962,555,88,62,94,444,4331,6177,6916,3575,0,8,0,24,0,3815,0,5598,3917,0,9617,2654,879,1203,882,6766,6428,5983,592843
26083,52297,3073,2246,950,1526,437,615,513,104,77,90,321,5981,4986,6408,3626,0,0,0,0,0,4602,0,4460,0,3917,8823,2917,879,1254,720,931,858,824,629667
26105,50060,3658,2292,916,1351,367,998,511,87,131,72,440,5363,2360,5770,6069,48,0,24,0,0,4154,36,0,4460,5598,9776,2803,1041,1150,702,899,845,776,704924
18168,223590,577,600,1685,862,62,204,116,0,5030,5042,13491,98,76,586,135,121,109,139,69,8621,9244,0,36,0,0,72,0,24,24,72,5514,8016,13202,7265
18225,233486,561,565,1901,904,84,178,126,0,5624,4870,14838,158,125,650,202,88,109,149,103,9547,0,9244,4154,4602,3815,9629,4558,3543,9613,3437,14048,14007,12310,12932
18222,215963,565,735,1857,826,86,182,126,0,4902,3947,18067,120,149,682,204,166,151,182,97,0,9547,8621,0,0,0,96,0,51,36,0,13895,7650,6461,10160
13095,154920,811,1000,589,576,7935,4299,4372,3972,1,6,0,73,132,173,160,4515,4481,2188,0,97,103,69,0,0,24,24,5802,2618,8190,5181,0,0,0,5787
13937,167696,711,724,795,800,9138,4025,2499,4661,13,12,22,64,392,147,163,4404,6605,0,2188,182,149,139,24,0,0,48,4906,6778,6190,3385,24,0,0,6100
16028,180776,895,1050,622,1109,10122,3425,3868,5025,1,0,0,125,257,178,233,3846,0,6605,4481,151,109,109,0,0,8,0,5294,5964,9685,3942,0,21,3,8098
14069,169849,755,830,743,719,7907,4333,5702,3545,1,14,12,62,167,162,156,0,3846,4404,4515,166,88,121,48,0,0,48,3232,4151,6865,8668,24,0,24,6697
13972,176618,4321,10927,3424,4526,75,93,99,24,37,34,71,4470,4805,3341,0,156,233,163,160,204,202,135,6069,3626,3575,9137,46,43,131,69,99,80,75,5725
