                                     | Core 0     | Core 1     
  Instructions                       |  596857481 |  1818495662
  Cycles                             |  892624920 |   892624920
  IPC                                |       0.67 |        2.04
  Time (ns)                          |  405738600 |   405738600
  Idle time (ns)                     |  285542851 |    29017528
  Idle time (%)                      |      70.4% |        7.2%
Branch predictor stats               |            |            
  num correct                        |   19438838 |    68909694
  num incorrect                      |     894481 |     3086192
  misprediction rate                 |      4.40% |       4.29%
  mpki                               |       1.50 |        1.70
TLB Summary                          |            |            
  I-TLB                              |            |            
    num accesses                     |   55007731 |   177375190
    num misses                       |        519 |        1126
    miss rate                        |      0.00% |       0.00%
    mpki                             |       0.00 |        0.00
  D-TLB                              |            |            
    num accesses                     |  213974795 |   635381277
    num misses                       |     226865 |      702328
    miss rate                        |      0.11% |       0.11%
    mpki                             |       0.38 |        0.39
  L2 TLB                             |            |            
    num accesses                     |     227384 |      703454
    num misses                       |      53356 |      103975
    miss rate                        |     23.47% |      14.78%
    mpki                             |       0.09 |        0.06
Cache Summary                        |            |            
  Cache L1-I                         |            |            
    num cache accesses               |   55007731 |   177375190
    num cache misses                 |    1304678 |     4562443
    miss rate                        |      2.37% |       2.57%
    mpki                             |       2.19 |        2.51
  Cache L1-D                         |            |            
    num cache accesses               |  213974795 |   635381277
    num cache misses                 |    1719585 |     3943536
    miss rate                        |      0.80% |       0.62%
    mpki                             |       2.88 |        2.17
  Cache L2                           |            |            
    num cache accesses               |    3024575 |     8506113
    num cache misses                 |     611508 |     1010361
    miss rate                        |     20.22% |      11.88%
    mpki                             |       1.02 |        0.56
  Cache L3                           |            |            
    num cache accesses               |     611840 |     1010573
    num cache misses                 |     126324 |      144698
    miss rate                        |     20.65% |      14.32%
    mpki                             |       0.21 |        0.08
DRAM summary                         |            |            
  num dram accesses                  |     336211 |           0
  average dram access latency (ns)   |      61.41 |         inf
  average dram queueing delay        |       0.15 |        0.00
  average dram bandwidth utilization |      0.00% |       0.00%
Coherency Traffic                    |            |            
  num loads from dram                |      56214 |       12852
  num loads from dram cache          |          0 |           0
  num loads from remote cache        |          0 |           0
