                                     | Core 0      | Core 1     
  Instructions                       |  1120413220 |  1030498458
  Cycles                             |   723956000 |   723956000
  IPC                                |        1.55 |        1.42
  Time (ns)                          |   180989000 |   180989000
  Idle time (ns)                     |     1297828 |      239722
  Idle time (%)                      |        0.7% |        0.1%
Branch predictor stats               |             |            
  num correct                        |   203748013 |   173013049
  num incorrect                      |      645574 |      653422
  misprediction rate                 |       0.32% |       0.38%
  mpki                               |        0.58 |        0.63
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |    39296558 |    40084825
    num misses                       |         326 |          27
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |   401391208 |   387078585
    num misses                       |      422170 |      412309
    miss rate                        |       0.11% |       0.11%
    mpki                             |        0.38 |        0.40
  L2 TLB                             |             |            
    num accesses                     |      422496 |      412336
    num misses                       |      353615 |      353627
    miss rate                        |      83.70% |      85.76%
    mpki                             |        0.32 |        0.34
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |    39296558 |    40084825
    num cache misses                 |       32214 |       16399
    miss rate                        |       0.08% |       0.04%
    mpki                             |        0.03 |        0.02
  Cache L1-D                         |             |            
    num cache accesses               |   401391208 |   387078585
    num cache misses                 |   102579381 |   102956209
    miss rate                        |      25.56% |      26.60%
    mpki                             |       91.55 |       99.91
  Cache L2                           |             |            
    num cache accesses               |   102797966 |   103156910
    num cache misses                 |    21315986 |    21360913
    miss rate                        |      20.74% |      20.71%
    mpki                             |       19.03 |       20.73
  Cache L3                           |             |            
    num cache accesses               |    21509054 |    21552217
    num cache misses                 |      372316 |      366108
    miss rate                        |       1.73% |       1.70%
    mpki                             |        0.33 |        0.36
DRAM summary                         |             |            
  num dram accesses                  |      258512 |      258750
  average dram access latency (ns)   |       63.46 |       63.62
  average dram queueing delay        |        2.21 |        2.37
  average dram bandwidth utilization |       0.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |       88031 |       81226
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |      191807 |      193887
