                                     | Core 0      | Core 1     
  Instructions                       |  4387893140 |   449519981
  Cycles                             |  3417066230 |  3417066230
  IPC                                |        1.28 |        0.13
  Time (ns)                          |  1178298700 |  1178298700
  Idle time (ns)                     |      735274 |  1047187410
  Idle time (%)                      |        0.1% |       88.9%
Branch predictor stats               |             |            
  num correct                        |   178204734 |     8689679
  num incorrect                      |     6446024 |      292523
  misprediction rate                 |       3.49% |       3.26%
  mpki                               |        1.47 |        0.65
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   843580254 |    69625358
    num misses                       |         217 |          50
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |  2615324298 |   284215856
    num misses                       |    17569000 |     2901278
    miss rate                        |       0.67% |       1.02%
    mpki                             |        4.00 |        6.45
  L2 TLB                             |             |            
    num accesses                     |    17569217 |     2901328
    num misses                       |     8043540 |     1546921
    miss rate                        |      45.78% |      53.32%
    mpki                             |        1.83 |        3.44
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   843580254 |    69625358
    num cache misses                 |     1531188 |        9417
    miss rate                        |       0.18% |       0.01%
    mpki                             |        0.35 |        0.02
  Cache L1-D                         |             |            
    num cache accesses               |  2615324298 |   284215856
    num cache misses                 |    23414315 |     2862559
    miss rate                        |       0.90% |       1.01%
    mpki                             |        5.34 |        6.37
  Cache L2                           |             |            
    num cache accesses               |    26167691 |     2872602
    num cache misses                 |    14743260 |     2065835
    miss rate                        |      56.34% |      71.92%
    mpki                             |        3.36 |        4.60
  Cache L3                           |             |            
    num cache accesses               |    15966277 |     2066461
    num cache misses                 |     4570162 |      441976
    miss rate                        |      28.62% |      21.39%
    mpki                             |        1.04 |        0.98
DRAM summary                         |             |            
  num dram accesses                  |     7480474 |           0
  average dram access latency (ns)   |       61.29 |         inf
  average dram queueing delay        |        0.04 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |     3824608 |      380961
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
