                                     | Core 0     | Core 1    
  Instructions                       |   48571821 |   10723202
  Cycles                             |   40472800 |   40472800
  IPC                                |       1.20 |       0.26
  Time (ns)                          |   10118200 |   10118200
  Idle time (ns)                     |       1420 |    6939464
  Idle time (%)                      |       0.0% |      68.6%
Branch predictor stats               |            |           
  num correct                        |    5317559 |    2428246
  num incorrect                      |     442777 |     113592
  misprediction rate                 |      7.69% |      4.47%
  mpki                               |       9.12 |      10.59
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    6119221 |    1031308
    num misses                       |        173 |         29
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   12157286 |    3407479
    num misses                       |      37557 |      36145
    miss rate                        |      0.31% |      1.06%
    mpki                             |       0.77 |       3.37
  L2 TLB                             |            |           
    num accesses                     |      37730 |      36174
    num misses                       |        973 |        487
    miss rate                        |      2.58% |      1.35%
    mpki                             |       0.02 |       0.05
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    6119221 |    1031308
    num cache misses                 |       3314 |        282
    miss rate                        |      0.05% |      0.03%
    mpki                             |       0.07 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |   12157286 |    3407479
    num cache misses                 |     195024 |     161982
    miss rate                        |      1.60% |      4.75%
    mpki                             |       4.02 |      15.11
  Cache L2                           |            |           
    num cache accesses               |     200451 |     162268
    num cache misses                 |     137537 |     114208
    miss rate                        |     68.61% |     70.38%
    mpki                             |       2.83 |      10.65
  Cache L3                           |            |           
    num cache accesses               |     139830 |     114317
    num cache misses                 |      30989 |       7958
    miss rate                        |     22.16% |      6.96%
    mpki                             |       0.64 |       0.74
DRAM summary                         |            |           
  num dram accesses                  |      38921 |          0
  average dram access latency (ns)   |      61.71 |        inf
  average dram queueing delay        |       0.46 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      13932 |       3789
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
