                                     | Core 0     | Core 1    
  Instructions                       |   12301120 |    3936406
  Cycles                             |   10962400 |   10962400
  IPC                                |       1.12 |       0.36
  Time (ns)                          |    2740600 |    2740600
  Idle time (ns)                     |       1342 |    1819114
  Idle time (%)                      |       0.0% |      66.4%
Branch predictor stats               |            |           
  num correct                        |    1543917 |    1002825
  num incorrect                      |      99223 |      31922
  misprediction rate                 |      6.04% |      3.09%
  mpki                               |       8.07 |       8.11
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1590960 |     277157
    num misses                       |        176 |         28
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    3203966 |    1079454
    num misses                       |       1559 |        257
    miss rate                        |      0.05% |      0.02%
    mpki                             |       0.13 |       0.07
  L2 TLB                             |            |           
    num accesses                     |       1735 |        285
    num misses                       |        581 |        169
    miss rate                        |     33.49% |     59.30%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1590960 |     277157
    num cache misses                 |       2679 |        178
    miss rate                        |      0.17% |      0.06%
    mpki                             |       0.22 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    3203966 |    1079454
    num cache misses                 |      58130 |      35130
    miss rate                        |      1.81% |      3.25%
    mpki                             |       4.73 |       8.92
  Cache L2                           |            |           
    num cache accesses               |      62968 |      35308
    num cache misses                 |      42211 |      28344
    miss rate                        |     67.04% |     80.28%
    mpki                             |       3.43 |       7.20
  Cache L3                           |            |           
    num cache accesses               |      44450 |      28371
    num cache misses                 |      16635 |       2060
    miss rate                        |     37.42% |      7.26%
    mpki                             |       1.35 |       0.52
DRAM summary                         |            |           
  num dram accesses                  |      18680 |          0
  average dram access latency (ns)   |      62.10 |        inf
  average dram queueing delay        |       0.85 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11097 |        894
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
