                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   21633939 |    3885910 |    3941937 |    4173081 |    3948643 |    4015182 |    3423340 |    3556110
  Cycles                             |   16759600 |   16759600 |   16759600 |   16759600 |   16759600 |   16759600 |   16759600 |   16759600
  IPC                                |       1.29 |       0.23 |       0.24 |       0.25 |       0.24 |       0.24 |       0.20 |       0.21
  Time (ns)                          |    4189900 |    4189900 |    4189900 |    4189900 |    4189900 |    4189900 |    4189900 |    4189900
  Idle time (ns)                     |       1574 |    3468650 |    3469098 |    3469046 |    3469118 |    3469180 |    3469276 |    3469341
  Idle time (%)                      |       0.0% |      82.8% |      82.8% |      82.8% |      82.8% |      82.8% |      82.8% |      82.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    2455409 |    1144074 |    1171933 |    1267745 |    1172271 |    1201977 |     954285 |    1011450
  num incorrect                      |     164449 |      14855 |      13854 |      10895 |      13995 |      13092 |      21421 |      19366
  misprediction rate                 |      6.28% |      1.28% |      1.17% |      0.85% |      1.18% |      1.08% |      2.20% |      1.88%
  mpki                               |       7.60 |       3.82 |       3.51 |       2.61 |       3.54 |       3.26 |       6.26 |       5.45
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2811766 |     134930 |     125103 |     104762 |     128866 |     118247 |     170726 |     160090
    num misses                       |        169 |         25 |         24 |         26 |         25 |         25 |         26 |         25
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    5085846 |     854383 |     858708 |     882419 |     861535 |     865875 |     806526 |     820809
    num misses                       |       2301 |        954 |        962 |        946 |       1038 |       1029 |        964 |        947
    miss rate                        |      0.05% |      0.11% |      0.11% |      0.11% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.11 |       0.25 |       0.24 |       0.23 |       0.26 |       0.26 |       0.28 |       0.27
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       2470 |        979 |        986 |        972 |       1063 |       1054 |        990 |        972
    num misses                       |        671 |        183 |        182 |        183 |        191 |        184 |        181 |        175
    miss rate                        |     27.17% |     18.69% |     18.46% |     18.83% |     17.97% |     17.46% |     18.28% |     18.00%
    mpki                             |       0.03 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2811766 |     134930 |     125103 |     104762 |     128866 |     118247 |     170726 |     160090
    num cache misses                 |       2737 |        168 |        165 |        170 |        169 |        169 |        170 |        168
    miss rate                        |      0.10% |      0.12% |      0.13% |      0.16% |      0.13% |      0.14% |      0.10% |      0.10%
    mpki                             |       0.13 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    5085846 |     854383 |     858708 |     882419 |     861535 |     865875 |     806526 |     820809
    num cache misses                 |      52877 |      26150 |      26047 |      25846 |      26149 |      26055 |      26278 |      26309
    miss rate                        |      1.04% |      3.06% |      3.03% |      2.93% |      3.04% |      3.01% |      3.26% |      3.21%
    mpki                             |       2.44 |       6.73 |       6.61 |       6.19 |       6.62 |       6.49 |       7.68 |       7.40
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      58051 |      26557 |      26456 |      26227 |      27098 |      26971 |      27323 |      27319
    num cache misses                 |      41615 |      23842 |      23745 |      23633 |      23870 |      23791 |      23996 |      23987
    miss rate                        |     71.69% |     89.78% |     89.75% |     90.11% |     88.09% |     88.21% |     87.82% |     87.80%
    mpki                             |       1.92 |       6.14 |       6.02 |       5.66 |       6.05 |       5.93 |       7.01 |       6.75
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      44404 |      24100 |      24012 |      23863 |      24665 |      24540 |      24871 |      24835
    num cache misses                 |      30831 |      13532 |      13291 |      13302 |      14330 |      14196 |      14309 |      14423
    miss rate                        |     69.43% |     56.15% |     55.35% |     55.74% |     58.10% |     57.85% |     57.53% |     58.08%
    mpki                             |       1.43 |       3.48 |       3.37 |       3.19 |       3.63 |       3.54 |       4.18 |       4.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      12772 |          0 |          0 |          0 |      12728 |          0 |          0 |          0
  average dram access latency (ns)   |      61.54 |        inf |        inf |        inf |      61.52 |        inf |        inf |        inf
  average dram queueing delay        |       0.28 |       0.00 |       0.00 |       0.00 |       0.26 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10541 |        271 |        252 |        287 |        210 |        201 |        228 |        196
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3917 |       3734 |       3831 |       3733 |       4615 |       4636 |       4622 |       4631
