                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5     
  Instructions                       |  1435823223 |  1495453177 |  1498826401 |  1401023389 |  1422568904 |  1423981571
  Cycles                             |  1862085600 |  1862085600 |  1862085600 |  1862085600 |  1862085600 |  1862085600
  IPC                                |        0.77 |        0.80 |        0.80 |        0.75 |        0.76 |        0.76
  Time (ns)                          |   465521400 |   465521400 |   465521400 |   465521400 |   465521400 |   465521400
  Idle time (ns)                     |     3820864 |     3502660 |     2624085 |     1200655 |      822382 |      239036
  Idle time (%)                      |        0.8% |        0.8% |        0.6% |        0.3% |        0.2% |        0.1%
Branch predictor stats               |             |             |             |             |             |            
  num correct                        |   271396049 |   294478572 |   295371360 |   260714821 |   268498304 |   269128297
  num incorrect                      |      771537 |      813287 |      842271 |      852739 |      837042 |      798505
  misprediction rate                 |       0.28% |       0.28% |       0.28% |       0.33% |       0.31% |       0.30%
  mpki                               |        0.54 |        0.54 |        0.56 |        0.61 |        0.59 |        0.56
TLB Summary                          |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |            
    num accesses                     |    76493668 |    74895728 |    75105429 |    76561476 |    76523509 |    76631310
    num misses                       |         220 |          27 |          27 |          27 |          27 |          27
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |            
    num accesses                     |   501793532 |   507380697 |   508113433 |   494257218 |   497008476 |   497036462
    num misses                       |      462657 |      863144 |      729471 |      525388 |      464485 |      580130
    miss rate                        |       0.09% |       0.17% |       0.14% |       0.11% |       0.09% |       0.12%
    mpki                             |        0.32 |        0.58 |        0.49 |        0.38 |        0.33 |        0.41
  L2 TLB                             |             |             |             |             |             |            
    num accesses                     |      462877 |      863171 |      729498 |      525415 |      464512 |      580157
    num misses                       |      429957 |      422301 |      422681 |      426442 |      424866 |      422776
    miss rate                        |      92.89% |      48.92% |      57.94% |      81.16% |      91.47% |      72.87%
    mpki                             |        0.30 |        0.28 |        0.28 |        0.30 |        0.30 |        0.30
Cache Summary                        |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |            
    num cache accesses               |    76493668 |    74895728 |    75105429 |    76561476 |    76523509 |    76631310
    num cache misses                 |       35103 |       18327 |       18637 |       18975 |       18736 |       18487
    miss rate                        |       0.05% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02%
    mpki                             |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
  Cache L1-D                         |             |             |             |             |             |            
    num cache accesses               |   501793532 |   507380697 |   508113433 |   494257218 |   497008476 |   497036462
    num cache misses                 |   141483424 |   139198139 |   139178356 |   140350121 |   139765233 |   139433570
    miss rate                        |      28.20% |      27.43% |      27.39% |      28.40% |      28.12% |      28.05%
    mpki                             |       98.54 |       93.08 |       92.86 |      100.18 |       98.25 |       97.92
  Cache L2                           |             |             |             |             |             |            
    num cache accesses               |   142118320 |   139809036 |   139793069 |   140964075 |   140375882 |   140049100
    num cache misses                 |    27746755 |    27315589 |    27318230 |    27530354 |    27422796 |    27367283
    miss rate                        |      19.52% |      19.54% |      19.54% |      19.53% |      19.54% |      19.54%
    mpki                             |       19.32 |       18.27 |       18.23 |       19.65 |       19.28 |       19.22
  Cache L3                           |             |             |             |             |             |            
    num cache accesses               |    28372532 |    27932469 |    27935671 |    28149110 |    28039913 |    27987674
    num cache misses                 |    26011247 |    25590256 |    25572176 |    25756878 |    25679291 |    25671332
    miss rate                        |      91.68% |      91.61% |      91.54% |      91.50% |      91.58% |      91.72%
    mpki                             |       18.12 |       17.11 |       17.06 |       18.38 |       18.05 |       18.03
DRAM summary                         |             |             |             |             |             |            
  num dram accesses                  |    79044354 |           0 |           0 |    79038600 |           0 |           0
  average dram access latency (ns)   |       83.07 |         inf |         inf |       82.88 |         inf |         inf
  average dram queueing delay        |       21.82 |        0.00 |        0.00 |       21.63 |        0.00 |        0.00
  average dram bandwidth utilization |      21.00% |       0.00% |       0.00% |      21.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |            
  num loads from dram                |    25616687 |    25209993 |    25204636 |    25394636 |    25318293 |    25277923
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      140960 |      142940 |      126318 |      128770 |      127223 |      149127
