                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   25120769 |    7145621 |    7407817 |    7308928 |    7484719 |    6802011
  Cycles                             |   18485200 |   18485200 |   18485200 |   18485200 |   18485200 |   18485200
  IPC                                |       1.36 |       0.39 |       0.40 |       0.40 |       0.40 |       0.37
  Time (ns)                          |    4621300 |    4621300 |    4621300 |    4621300 |    4621300 |    4621300
  Idle time (ns)                     |       2640 |    3527539 |    3478840 |    3491574 |    3470661 |    3471624
  Idle time (%)                      |       0.1% |      76.3% |      75.3% |      75.6% |      75.1% |      75.1%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2992942 |    2167680 |    2214320 |    2193610 |    2193999 |    1883751
  num incorrect                      |     178981 |      13808 |      18063 |      17445 |      23744 |      33071
  misprediction rate                 |      5.64% |      0.63% |      0.81% |      0.79% |      1.07% |      1.73%
  mpki                               |       7.12 |       1.93 |       2.44 |       2.39 |       3.17 |       4.86
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    3212388 |      91528 |     112834 |     104475 |     131622 |     170392
    num misses                       |        173 |         24 |         24 |         24 |         22 |         24
    miss rate                        |      0.01% |      0.03% |      0.02% |      0.02% |      0.02% |      0.01%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5891373 |    1456171 |    1521622 |    1499199 |    1562346 |    1488439
    num misses                       |       6613 |       5200 |       5243 |       5351 |       5215 |       5113
    miss rate                        |      0.11% |      0.36% |      0.34% |      0.36% |      0.33% |      0.34%
    mpki                             |       0.26 |       0.73 |       0.71 |       0.73 |       0.70 |       0.75
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       6786 |       5224 |       5267 |       5375 |       5237 |       5137
    num misses                       |        814 |        296 |        301 |        298 |        289 |        301
    miss rate                        |     12.00% |      5.67% |      5.71% |      5.54% |      5.52% |      5.86%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    3212388 |      91528 |     112834 |     104475 |     131622 |     170392
    num cache misses                 |       3105 |        156 |        156 |        159 |        153 |        156
    miss rate                        |      0.10% |      0.17% |      0.14% |      0.15% |      0.12% |      0.09%
    mpki                             |       0.12 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5891373 |    1456171 |    1521622 |    1499199 |    1562346 |    1488439
    num cache misses                 |      71609 |      35931 |      36461 |      36356 |      36632 |      38218
    miss rate                        |      1.22% |      2.47% |      2.40% |      2.43% |      2.34% |      2.57%
    mpki                             |       2.85 |       5.03 |       4.92 |       4.97 |       4.89 |       5.62
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      77355 |      36378 |      36970 |      36870 |      38565 |      40404
    num cache misses                 |      55752 |      32228 |      32540 |      32523 |      32637 |      33004
    miss rate                        |     72.07% |     88.59% |     88.02% |     88.21% |     84.63% |     81.68%
    mpki                             |       2.22 |       4.51 |       4.39 |       4.45 |       4.36 |       4.85
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      60721 |      32528 |      32922 |      32909 |      34439 |      35056
    num cache misses                 |      36770 |      13096 |      13467 |      13139 |      26794 |      27003
    miss rate                        |     60.56% |     40.26% |     40.91% |     39.93% |     77.80% |     77.03%
    mpki                             |       1.46 |       1.83 |       1.82 |       1.80 |       3.58 |       3.97
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      18075 |          0 |          0 |          0 |      18028 |          0
  average dram access latency (ns)   |      61.83 |        inf |        inf |        inf |      61.82 |        inf
  average dram queueing delay        |       0.58 |       0.00 |       0.00 |       0.00 |       0.57 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      11023 |        800 |        847 |        826 |        276 |        276
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4670 |       4477 |       4517 |       4484 |       5918 |       6105
